preprocessed_feature,concept_id,run_nr,amount_runs_feature_occured,amount_runs_feature_occured_within_concept,decoded_feature
it is a musical instrument,accordion,22,10,10,is an instrument
it is a musical instrument,accordion,22,10,10,is a musical instrument
it is a musical instrument,accordion,22,10,10,is musical
it has keys/buttons,accordion,22,1,1,has keys / buttons
it has bellows,accordion,22,8,8,has bellows
it is played by compressing and expanding the bellows,accordion,22,3,3,is played by compressing and expanding the bellows
it produces sound,accordion,22,10,9,produces sound
it has reeds,accordion,22,9,7,has reeds
it is used in various music genres,accordion,22,10,7,is used in various music genres
it is portable,accordion,22,10,10,is portable
it is a free-reed instrument,accordion,22,1,1,is a free - reed instrument
it has a distinctive sound,accordion,22,8,6,has a distinctive sound
it is worn on the front of the body,apron,22,1,1,is worn on the front of the body
it is used for protection,apron,22,8,2,is used for protection
it is worn while cooking,apron,22,2,2,is worn while cooking
it has ties or straps,apron,22,10,6,has straps
it has ties or straps,apron,22,8,8,has ties
it is made of fabric,apron,22,10,10,is made of fabric
it can be washable,apron,22,9,9,is washable
it can have pockets,apron,22,10,8,has pockets
it covers the torso and upper legs,apron,22,1,1,covers the torso and upper legs
it can be decorative or functional,apron,22,10,1,is functional
it can be decorative or functional,apron,22,10,4,is decorative
it has scales,alligator,22,10,5,has scales
it is a reptile,alligator,22,10,10,is a reptile
it lives in freshwater,alligator,22,2,1,lives in freshwater
it has sharp teeth,alligator,22,10,10,has sharp teeth
it is carnivorous,alligator,22,10,10,is carnivorous
it has a long snout,alligator,22,7,3,has a long snout
it has strong jaws,alligator,22,8,3,has strong jaws
it has a powerful tail,alligator,22,2,2,has a powerful tail
it is semi-aquatic,alligator,22,10,1,is semi - aquatic
it lays eggs,alligator,22,10,8,lays eggs
it is cold-blooded,alligator,22,10,5,is cold - blooded
it has a skin,avocado,22,9,5,has a skin
it is green,avocado,22,10,9,is green
it is a fruit,avocado,22,10,10,is a fruit
it has a large seed,avocado,22,6,6,has a large seed
it is creamy,avocado,22,4,4,is creamy
it is high in healthy fats,avocado,22,9,9,is high in healthy fats
it is eaten raw,avocado,22,9,2,is eaten raw
it has a buttery texture,avocado,22,4,4,has a buttery texture
it can be used in guacamole,avocado,22,8,8,is used in guacamole
it grows on trees,avocado,22,10,6,grows on trees
