feature,changed_feature
it is made of wood and it has a flat top,it is made of wood
it is made of wood and it has a flat top,it has a flat top
it is used for protection from the weather and it has a zipper,it is used for protection from the weather
it is used for protection from the weather and it has a zipper,it has a zipper
it is made of glass and it has a numerical scale,it is made of glass
it is made of glass and it has a numerical scale,it has a numerical scale
it is made of metal and it has a lid,it is made of metal
it is made of metal and it has a lid,it has a lid
it kills animals for food and it has fur,it kills animals for food
it kills animals for food and it has fur,it has fur
it comes from plants and it has juice,it comes from plants
it comes from plants and it has juice,it has juice
it requires fuel and it requires a crew,it requires fuel
it requires fuel and it requires a crew,it requires a crew
it is rectangular and it can be stacked,it is rectangular
it is rectangular and it can be stacked,it can be stacked
it is made of metal and it is ridden by children,it is made of metal
it is made of metal and it is ridden by children,it is ridden by children
it has a cornet and it is used for music,it has a cornet
it has a cornet and it is used for music,it is used for music
it has feathers and it has wings,it has feathers
it has feathers and it has wings,it has wings
it has a long life span and it lives in water,it has a long life span
it has a long life span and it lives in water,it lives in water
it types letters and words,it types letters
it types letters and words,it types words
it is used for communication and writing,it is used for communication
it is used for communication and writing,it is used for writing
it has a paper roll and a keyboard,it has a paper roll and a keyboard
it has a paper roll and a keyboard,it has a paper roll and a keyboard
it has a long seat and it is made of metal,it has a long seat
it has a long seat and it is made of metal,it is made of metal
it has seats and it is used for transporting,it has seats
it has seats and it is used for transporting,it is used for transporting
it conceals the face and it is worn in public,it conceals the face
it conceals the face and it is worn in public,it is worn in public
it is loud when played and it has a sound hole,it is loud when played
it is loud when played and it has a sound hole,it has a sound hole
it eats fish and it is dangerous,it eats fish
it eats fish and it is dangerous,it is dangerous
it is an insect and it lives in the air,it is an insect
it is an insect and it lives in the air,it lives in the air
it is grey and it is used for transportation,it is grey
it is grey and it is used for transportation,it is used for transportation
it is made of metal and it has a flat bottom,it is made of metal
it is made of metal and it has a flat bottom,it has a flat bottom
it is long and thin,it is long
it is long and thin,it is thin
it is an insect and it is used for bait,it is an insect
it is an insect and it is used for bait,it is used for bait
it has cabins for passengers and it is used for transportation,it has cabins for passengers
it has cabins for passengers and it is used for transportation,it is used for transportation
it is black and white,it is black
it is black and white,it is white
it is small and it has a long tongue,it is small
it is small and it has a long tongue,it has a long tongue
it is used for milk and cheese,it is used for milk
it is used for milk and cheese,it is used for cheese
it has smoke and it has smoke coming out of the end,it has smoke
it has smoke and it has smoke coming out of the end,it has smoke coming out of the end
it is used for makeup and it is used for the face,it is used for makeup
it is used for makeup and it is used for the face,it is used for the face
it is used by girls and it has a hood,it is used by girls
it is used by girls and it has a hood,it has a hood
it has a metal head and it is used for making clothes,it has a metal head
it has a metal head and it is used for making clothes,it is used for making clothes
it has a flat surface and it has a handle,it has a flat surface
it has a flat surface and it has a handle,it has a handle
it is made of metal and it requires fuel,it is made of metal
it is made of metal and it requires fuel,it requires fuel
it is black and white and it is associated with italy,it is black
it is black and white and it is associated with italy,it is white
it is black and white and it is associated with italy,it is associated with italy
it is dangerous and it lives in swamps,it is dangerous
it is dangerous and it lives in swamps,it lives in swamps
it has seats and it has doors,it has seats
it has seats and it has doors,it has doors
it is used for fishing and it has a ring,it is used for fishing
it is used for fishing and it has a ring,it has a ring
it has a stinger and it is social,it has a stinger
it has a stinger and it is social,it is social
it is associated with the garden of eden and it can be eaten,it is associated with the garden of eden
it is associated with the garden of eden and it can be eaten,it can be eaten
it protects clothes and it is associated with cooking,it protects clothes
it protects clothes and it is associated with cooking,it is associated with cooking
it is used to hold cigarettes and it is associated with ash,it is used to hold cigarettes
it is used to hold cigarettes and it is associated with ash,it is associated with ash
it is associated with easter and it has to be cooked,it is associated with easter
it is associated with easter and it has to be cooked,it has to be cooked
it has a creamy centre and it has a high fat content,it has a creamy centre
it has a creamy centre and it has a high fat content,it has a high fat content
it is used in lumberjacking and it is associated with lumberjacks,it is used in lumberjacking
it is used in lumberjacking and it is associated with lumberjacks,it is associated with lumberjacks
it has a label and it has an inside and an outside,it has a label
it has a label and it has an inside and an outside,it has an inside and an outside
it has an inside and an outside,it has an inside and an outside
it has a handle and it is red,it has a handle
it has a handle and it is red,it is red
you blow it up and it has a hole in the middle,you blow it up
you blow it up and it has a hole in the middle,it has a hole in the middle
it is eaten as a dessert and it is associated with monkeys,it is eaten as a dessert
it is eaten as a dessert and it is associated with monkeys,it is associated with monkeys
it has a body and it has a neck,it has a body
it has a body and it has a neck,it has a neck
it has a bottom and it is used for storage,it has a bottom
it has a bottom and it is used for storage,it is used for storage
it has a lid and it has holes,it has a lid
it has a lid and it has holes,it has holes
it is eaten as a vegetable and it is a source of protein,it is eaten as a vegetable
it is eaten as a vegetable and it is a source of protein,it is a source of protein
it has a tail and it is large,it has a tail
it has a tail and it is large,it is large
it eats leaves and twigs,it eats leaves
it eats leaves and twigs,it eats twigs
it lives in streams and it eats wood,it lives in streams
it lives in streams and it eats wood,it eats wood
it is used by adults and it is associated with sleep,it is used by adults
it is used by adults and it is associated with sleep,it is associated with sleep
it is black and red and it is small,it is black
it is black and red and it is small,it is red
it is black and red and it is small,it is small
it is associated with pants and it has a buckle,it is associated with pants
it is associated with pants and it has a buckle,it has a buckle
it has a seat and it is placed against a wall,it has a seat
it has a seat and it is placed against a wall,it is placed against a wall
it has a name and it is associated with tea,it has a name
it has a name and it is associated with tea,it is associated with tea
it is made of plastic and it is used to make smoothies,it is made of plastic
it is made of plastic and it is used to make smoothies,it is used to make smoothies
it has a waistband and it has a hem,it has a waistband
it has a waistband and it has a hem,it has a hem
it grows on bushes and it is associated with canada,it grows on bushes
it grows on bushes and it is associated with canada,it is associated with canada
it is used for fishing and it has an anchor,it is used for fishing
it is used for fishing and it has an anchor,it has an anchor
it has a timer and it can be used to kill people,it has a timer
it has a timer and it can be used to kill people,it can be used to kill people
it is a book and it is made of paper,it is a book
it is a book and it is made of paper,it is made of paper
it is used to drink from and it has a shape,it is used to drink from
it is used to drink from and it has a shape,it has a shape
it has leaves and it has stems,it has leaves
it has leaves and it has stems,it has stems
it is round and it is used in the kitchen,it is round
it is round and it is used in the kitchen,it is used in the kitchen
it has a lid and it is made of corrugated paper,it has a lid
it has a lid and it is made of corrugated paper,it is made of corrugated paper
it is white and it is associated with sex,it is white
it is white and it is associated with sex,it is associated with sex
it is a pastry and it has a taste,it is a pastry
it is a pastry and it has a taste,it has a taste
it has a flat top and bottom,it has a flat top and bottom
it has a flat top and bottom,it has a flat top and bottom
it is heavy and it is used for decoration,it is heavy
it is heavy and it is used for decoration,it is used for decoration
it has a stalk and it is eaten,it has a stalk
it has a stalk and it is eaten,it is eaten
it sweeps dust and it is long,it sweeps dust
it sweeps dust and it is long,it is long
it is brown and it has a bottom,it is brown
it is brown and it has a bottom,it has a bottom
it has a tongue and it is made of leather,it has a tongue
it has a tongue and it is made of leather,it is made of leather
it has an engine and it is associated with babies,it has an engine
it has an engine and it is associated with babies,it is associated with babies
it can cause injury and it can be deadly,it can cause injury
it can cause injury and it can be deadly,it can be deadly
it has a driver and it runs on diesel,it has a driver
it has a driver and it runs on diesel,it runs on diesel
it lays eggs and it is small,it lays eggs
it lays eggs and it is small,it is small
it is eaten by people and it has a strong smell,it is eaten by people
it is eaten by people and it has a strong smell,it has a strong smell
it is tall and it is used to transport animals,it is tall
it is tall and it is used to transport animals,it is used to transport animals
it is round and it is associated with birthdays,it is round
it is round and it is associated with birthdays,it is associated with birthdays
it eats grass and it is domesticated,it eats grass
it eats grass and it is domesticated,it is domesticated
it is used in churches and it has a holder,it is used in churches
it is used in churches and it has a holder,it has a holder
it has a lock and it is fired from a gun,it has a lock
it has a lock and it is fired from a gun,it is fired from a gun
it has a steering wheel and it is used for fishing,it has a steering wheel
it has a steering wheel and it is used for fishing,it is used for fishing
it travels on roads and it is made of metal,it travels on roads
it travels on roads and it is made of metal,it is made of metal
it has a leafy top and it has a green stalk,it has a leafy top
it has a leafy top and it has a green stalk,it has a green stalk
it is used for carrying goods and it has a motor,it is used for carrying goods
it is used for carrying goods and it has a motor,it has a motor
it meows and it is associated with witches,it meows
it meows and it is associated with witches,it is associated with witches
it crawls and it is a pest,it crawls
it crawls and it is a pest,it is a pest
it grows in the ground and it is part of a head of broccoli,it grows in the ground
it grows in the ground and it is part of a head of broccoli,it is part of a head of broccoli
it is associated with rabbits and it is grown in the ground,it is associated with rabbits
it is associated with rabbits and it is grown in the ground,it is grown in the ground
it is associated with orchestras and it is associated with orchestras,it is associated with orchestras
it is associated with orchestras and it is associated with orchestras,it is associated with orchestras
it is long and it is made of iron,it is long
it is long and it is made of iron,it is made of iron
it is used for sitting and it is associated with chairs,it is used for sitting
it is used for sitting and it is associated with chairs,it is associated with chairs
it has a chain to hang from the ceiling and it is used to decorate,it has a chain to hang from the ceiling
it has a chain to hang from the ceiling and it is used to decorate,it is used to decorate
it has teeth and it lives in africa,it has teeth
it has teeth and it lives in africa,it lives in africa
it has juice and it is eaten,it has juice
it has juice and it is eaten,it is eaten
it has stripes and it has a long body,it has stripes
it has stripes and it has a long body,it has a long body
it is used to cut wood and it is made of metal,it is used to cut wood
it is used to cut wood and it is made of metal,it is made of metal
it is smoked by people and it is associated with cowboys,it is smoked by people
it is smoked by people and it is associated with cowboys,it is associated with cowboys
it has tar and it has nicotine,it has tar
it has tar and it has nicotine,it has nicotine
it has a mantle and it has gills,it has a mantle
it has a mantle and it has gills,it has gills
it is made of wood and it produces sound,it is made of wood
it is made of wood and it produces sound,it produces sound
it is black and it is worn in cold weather,it is black
it is black and it is worn in cold weather,it is worn in cold weather
it is made of metal and it has hands,it is made of metal
it is made of metal and it has hands,it has hands
it has a hood and it is associated with winter,it has a hood
it has a hood and it is associated with winter,it is associated with winter
it can live without food for a long time and it eats garbage,it can live without food for a long time
it can live without food for a long time and it eats garbage,it eats garbage
it has a husk and it is edible,it has a husk
it has a husk and it is edible,it is edible
it is thin and it has a handle,it is thin
it is thin and it has a handle,it has a handle
it has a hole in the middle and it is used to stop liquid from coming out,it has a hole in the middle
it has a hole in the middle and it is used to stop liquid from coming out,it is used to stop liquid from coming out
it has a long handle and it has a small hole,it has a long handle
it has a long handle and it has a small hole,it has a small hole
it grows on stalks and it is edible,it grows on stalks
it grows on stalks and it is edible,it is edible
it produces milk and it is used for meat,it produces milk
it produces milk and it is used for meat,it is used for meat
it is small and it is red,it is small
it is small and it is red,it is red
it has a tip and it comes in different colours,it has a tip
it has a tip and it comes in different colours,it comes in different colours
it has a handle and it is used in wars,it has a handle
it has a handle and it is used in wars,it is used in wars
it has a pointed tip and it is strong,it has a pointed tip
it has a pointed tip and it is strong,it is strong
it is used for salads and it is associated with summer,it is used for salads
it is used for salads and it is associated with summer,it is associated with summer
it has a straw and it is used for hot drinks,it has a straw
it has a straw and it is used for hot drinks,it is used for hot drinks
it is used for comfort and it is made of fabric,it is used for comfort
it is used for comfort and it is made of fabric,it is made of fabric
it is associated with pirates and it is associated with stabbings,it is associated with pirates
it is associated with pirates and it is associated with stabbings,it is associated with stabbings
it is tall and it grows in the grass,it is tall
it is tall and it grows in the grass,it grows in the grass
it is associated with easter and it is an animal,it is associated with easter
it is associated with easter and it is an animal,it is an animal
it has a lock and it is used by children,it has a lock
it has a lock and it is used by children,it is used by children
it has a light inside and it is used to clean dishes,it has a light inside
it has a light inside and it is used to clean dishes,it is used to clean dishes
it has a mouth and it has ears,it has a mouth
it has a mouth and it has ears,it has ears
it is associated with girls and it is associated with christmas,it is associated with girls
it is associated with girls and it is associated with christmas,it is associated with christmas
it is wrinkled and it has a dorsal fin,it is wrinkled
it is wrinkled and it has a dorsal fin,it has a dorsal fin
it is strong and it pulls carts,it is strong
it is strong and it pulls carts,it pulls carts
it is brown and it is used by people,it is brown
it is brown and it is used by people,it is used by people
it is colourful and it is associated with weddings,it is colourful
it is colourful and it is associated with weddings,it is associated with weddings
it has a top and it has shelves,it has a top
it has a top and it has shelves,it has shelves
it has a long handle and it is round,it has a long handle
it has a long handle and it is round,it is round
it has a rim and it is associated with music,it has a rim
it has a rim and it is associated with music,it is associated with music
it is associated with water and it quacks,it is associated with water
it is associated with water and it quacks,it quacks
it is strong and it is associated with the sky,it is strong
it is strong and it is associated with the sky,it is associated with the sky
it is long and thin and it is associated with the sea,it is long
it is long and thin and it is associated with the sea,it is thin
it is long and thin and it is associated with the sea,it is associated with the sea
it is hunted by people and it has a long tail,it is hunted by people
it is hunted by people and it has a long tail,it has a long tail
it is flat and it contains a letter,it is flat
it is flat and it contains a letter,it contains a letter
it has a wire mesh and it keeps animals in,it has a wire mesh
it has a wire mesh and it keeps animals in,it keeps animals in
it is tall and it lives in the desert,it is tall
it is tall and it lives in the desert,it lives in the desert
it is held under the chin and it is associated with music,it is held under the chin
it is held under the chin and it is associated with music,it is associated with music
it has laces and it has a logo,it has laces
it has laces and it has a logo,it has a logo
it is used with a knife and it is associated with eating,it is used with a knife
it is used with a knife and it is associated with eating,it is associated with eating
it has ears and it is hunted for its fur,it has ears
it has ears and it is hunted for its fur,it is hunted for its fur
it croaks and it is small,it croaks
it croaks and it is small,it is small
it is used in cooking and it has a strong smell,it is used in cooking
it is used in cooking and it has a strong smell,it has a strong smell
it is associated with gardens and it is made of metal,it is associated with gardens
it is associated with gardens and it is made of metal,it is made of metal
it has spots on its body and it lives in africa,it has spots on its body
it has spots on its body and it lives in africa,it lives in africa
it has a beard and it lives in africa,it has a beard
it has a beard and it lives in africa,it lives in africa
it is lazy and it swims,it is lazy
it is lazy and it swims,it swims
it makes sounds and it is associated with christmas,it makes sounds
it makes sounds and it is associated with christmas,it is associated with christmas
it lives in the jungle and it is endangered,it lives in the jungle
it lives in the jungle and it is endangered,it is endangered
it is juicy and it grows on vines,it is juicy
it is juicy and it grows on vines,it grows on vines
it has a pithy centre and it has seeds,it has a pithy centre
it has a pithy centre and it has seeds,it has seeds
it eats plants and it is an animal,it eats plants
it eats plants and it is an animal,it is an animal
it has a rough surface and it makes noise,it has a rough surface
it has a rough surface and it makes noise,it makes noise
it has a timer and it is dangerous,it has a timer
it has a timer and it is dangerous,it is dangerous
it has a body and it is made of wood,it has a body
it has a body and it is made of wood,it is made of wood
it can injure people and it is associated with violence,it can injure people
it can injure people and it is associated with violence,it is associated with violence
it is heavy and it is round,it is heavy
it is heavy and it is round,it is round
it eats seeds and nuts,it eats seeds
it eats seeds and nuts,it eats nuts
it is small and it is brown,it is small
it is small and it is brown,it is brown
it is small and it has a mouthpiece,it is small
it is small and it has a mouthpiece,it has a mouthpiece
it produces sound and it is associated with angels,it produces sound
it produces sound and it is associated with angels,it is associated with angels
it has a flat blade and it is associated with trees,it has a flat blade
it has a flat blade and it is associated with trees,it is associated with trees
it eats rodents and rabbits,it eats rodents
it eats rodents and rabbits,it eats rabbits
it flies in the sky and it eats meat,it flies in the sky
it flies in the sky and it eats meat,it eats meat
it has an engine and it is used for rescue missions,it has an engine
it has an engine and it is used for rescue missions,it is used for rescue missions
it protects the face and it is associated with transportation,it protects the face
it protects the face and it is associated with transportation,it is associated with transportation
it is used to make holes in the ground and it has a pointy end,it is used to make holes in the ground
it is used to make holes in the ground and it has a pointy end,it has a pointy end
it is associated with carriages and it can be domesticated,it is associated with carriages
it is associated with carriages and it can be domesticated,it can be domesticated
it has water inside and it is used to water gardens,it has water inside
it has water inside and it is used to water gardens,it is used to water gardens
it lives in africa and it has a bone-crushing bite,it lives in africa
it lives in africa and it has a bone-crushing bite,it has a bone-crushing bite
it has a tail and it is an animal,it has a tail
it has a tail and it is an animal,it is an animal
it is worn by both men and women,it is worn by both men
it is worn by both men and women,it is worn by women
