,concept,question,id
1,abacus,What are the properties of an abacus?,abacus
2,accordion,What are the properties of an accordion?,accordion
4,air conditioner,What are the properties of an air conditioner?,air_conditioner
5,air mattress,What are the properties of an air mattress?,air_mattress
6,air pump,What are the properties of an air pump?,air_pump
7,airbag,What are the properties of an airbag?,airbag
8,airboat,What are the properties of an airboat?,airboat
9,aircraft carrier,What are the properties of an aircraft carrier?,aircraft_carrier
10,airplane,What are the properties of an airplane?,airplane
12,alligator,What are the properties of an alligator?,alligator
13,almond,What are the properties of an almond?,almond
14,aloe,What are the properties of an aloe?,aloe
15,alpaca,What are the properties of an alpaca?,alpaca
16,altar,What are the properties of an altar?,altar
18,amber,What are the properties of an amber?,amber
19,ambulance,What are the properties of an ambulance?,ambulance
20,amplifier,What are the properties of an amplifier?,amplifier
21,anchor,What are the properties of an anchor?,anchor
22,ankle,What are the properties of an ankle?,ankle
23,anklet,What are the properties of an anklet?,anklet
24,ant,What are the properties of an ant?,ant
25,anteater,What are the properties of an anteater?,anteater
26,antelope,What are the properties of an antelope?,antelope
27,antenna,What are the properties of an antenna?,antenna
28,anvil,What are the properties of an anvil?,anvil
29,appetizer,What are the properties of an appetizer?,appetizer
30,apple,What are the properties of an apple?,apple
31,apple tree,What are the properties of an apple tree?,apple_tree
32,applesauce,What are the properties of an applesauce?,applesauce
33,apron,What are the properties of an apron?,apron
34,aquarium,What are the properties of an aquarium?,aquarium
35,arch,What are the properties of an arch (architectural element)?,arch
36,arm,What are the properties of an arm?,arm
37,armor,What are the properties of an armor?,armor
38,arrow,What are the properties of an arrow?,arrow
39,artichoke,What are the properties of an artichoke?,artichoke
40,arugula,What are the properties of an arugula?,arugula
41,ashtray,What are the properties of an ashtray?,ashtray
42,asparagus,What are the properties of an asparagus?,asparagus
43,avocado,What are the properties of an avocado?,avocado
44,awning,What are the properties of an awning?,awning
45,axe,What are the properties of an axe?,axe
46,baby,What are the properties of a baby?,baby
47,backdrop,What are the properties of a backdrop?,backdrop
48,backgammon,What are the properties of a backgammon?,backgammon
49,backpack,What are the properties of a backpack?,backpack
50,backscratcher,What are the properties of a backscratcher?,backscratcher
51,bacon,What are the properties of a bacon?,bacon
52,badge,What are the properties of a badge?,badge
53,badger,What are the properties of a badger?,badger
54,bag,What are the properties of a bag?,bag
55,bagel,What are the properties of a bagel?,bagel
56,bagpipe,What are the properties of a bagpipe?,bagpipe
57,baklava,What are the properties of a baklava?,baklava
59,ball,What are the properties of a ball?,ball
60,balloon,What are the properties of a balloon (party supply)?,balloon
61,ballot box,What are the properties of a ballot box?,ballot_box
62,bamboo,What are the properties of a bamboo?,bamboo
63,banana,What are the properties of a banana?,banana
64,banana peel,What are the properties of a banana peel?,banana_peel
65,banana split,What are the properties of a banana split?,banana_split
66,bandage,What are the properties of a bandage?,bandage
67,bandanna,What are the properties of a bandanna?,bandanna
68,banjo,What are the properties of a banjo?,banjo
71,barbed wire,What are the properties of a barbed wire?,barbed_wire
72,barbell,What are the properties of a barbell?,barbell
73,barcode,What are the properties of a barcode?,barcode
74,bark,What are the properties of a bark?,bark
75,barnacle,What are the properties of a barnacle?,barnacle
76,barrel,What are the properties of a barrel?,barrel
77,barrette,What are the properties of a barrette?,barrette
79,baseball bat,What are the properties of a baseball bat?,baseball_bat
80,baseball glove,What are the properties of a baseball glove?,baseball_glove
81,basil,What are the properties of a basil?,basil
82,basket,What are the properties of a basket?,basket
84,basketball hoop,What are the properties of a basketball hoop?,basketball_hoop
85,bassinet,What are the properties of a bassinet?,bassinet
86,bassoon,What are the properties of a bassoon?,bassoon
87,bathmat,What are the properties of a bathmat?,bathmat
88,bathrobe,What are the properties of a bathrobe?,bathrobe
89,bathtub,What are the properties of a bathtub?,bathtub
90,batter,What are the properties of a batter?,batter
91,battery,What are the properties of a battery?,battery
92,bazooka,What are the properties of a bazooka?,bazooka
93,beachball,What are the properties of a beachball?,beachball
94,bead,What are the properties of a bead?,bead
95,beaker,What are the properties of a beaker?,beaker
96,bean,"What are the properties of a bean (food, legume)?",bean
97,beanbag,What are the properties of a beanbag?,beanbag
98,beanie,What are the properties of a beanie?,beanie
99,bear,What are the properties of a bear?,bear
100,beard,What are the properties of a beard?,beard
101,beaver,What are the properties of a beaver?,beaver
102,bed,What are the properties of a bed?,bed
103,bedpan,What are the properties of a bedpan?,bedpan
