concept,question,id
abacus,What are the properties of an abacus?,abacus
air conditioner,What are the properties of an air conditioner?,air_conditioner
air mattress,What are the properties of an air mattress?,air_mattress
air pump,What are the properties of an air pump?,air_pump
airbag,What are the properties of an airbag?,airbag
airboat,What are the properties of an airboat?,airboat
aircraft carrier,What are the properties of an aircraft carrier?,aircraft_carrier
airplane,What are the properties of an airplane?,airplane
almond,What are the properties of an almond?,almond
aloe,What are the properties of an aloe?,aloe
alpaca,What are the properties of an alpaca?,alpaca
altar,What are the properties of an altar?,altar
amber,What are the properties of an amber?,amber
amplifier,What are the properties of an amplifier?,amplifier
ankle,What are the properties of an ankle?,ankle
anklet,What are the properties of an anklet?,anklet
anteater,What are the properties of an anteater?,anteater
antelope,What are the properties of an antelope?,antelope
antenna,What are the properties of an antenna?,antenna
anvil,What are the properties of an anvil?,anvil
appetizer,What are the properties of an appetizer?,appetizer
apple tree,What are the properties of an apple tree?,apple_tree
applesauce,What are the properties of an applesauce?,applesauce
aquarium,What are the properties of an aquarium?,aquarium
arch,What are the properties of an arch (architectural element)?,arch
arm,What are the properties of an arm?,arm
armor,What are the properties of an armor?,armor
arrow,What are the properties of an arrow?,arrow
artichoke,What are the properties of an artichoke?,artichoke
arugula,What are the properties of an arugula?,arugula
awning,What are the properties of an awning?,awning
baby,What are the properties of a baby?,baby
backdrop,What are the properties of a backdrop?,backdrop
backgammon,What are the properties of a backgammon?,backgammon
backpack,What are the properties of a backpack?,backpack
backscratcher,What are the properties of a backscratcher?,backscratcher
bacon,What are the properties of a bacon?,bacon
badge,What are the properties of a badge?,badge
badger,What are the properties of a badger?,badger
bagel,What are the properties of a bagel?,bagel
bagpipe,What are the properties of a bagpipe?,bagpipe
baklava,What are the properties of a baklava?,baklava
ballot box,What are the properties of a ballot box?,ballot_box
bamboo,What are the properties of a bamboo?,bamboo
banana peel,What are the properties of a banana peel?,banana_peel
banana split,What are the properties of a banana split?,banana_split
bandage,What are the properties of a bandage?,bandage
bandanna,What are the properties of a bandanna?,bandanna
barbed wire,What are the properties of a barbed wire?,barbed_wire
barbell,What are the properties of a barbell?,barbell
barcode,What are the properties of a barcode?,barcode
bark,What are the properties of a bark?,bark
barnacle,What are the properties of a barnacle?,barnacle
barrette,What are the properties of a barrette?,barrette
baseball bat,What are the properties of a baseball bat?,baseball_bat
baseball glove,What are the properties of a baseball glove?,baseball_glove
basil,What are the properties of a basil?,basil
basketball hoop,What are the properties of a basketball hoop?,basketball_hoop
bassinet,What are the properties of a bassinet?,bassinet
bassoon,What are the properties of a bassoon?,bassoon
bathmat,What are the properties of a bathmat?,bathmat
bathrobe,What are the properties of a bathrobe?,bathrobe
bathtub,What are the properties of a bathtub?,bathtub
batter,What are the properties of a batter?,batter
battery,What are the properties of a battery?,battery
bazooka,What are the properties of a bazooka?,bazooka
beachball,What are the properties of a beachball?,beachball
bead,What are the properties of a bead?,bead
beaker,What are the properties of a beaker?,beaker
beanbag,What are the properties of a beanbag?,beanbag
beanie,What are the properties of a beanie?,beanie
beard,What are the properties of a beard?,beard
bedpan,What are the properties of a bedpan?,bedpan
bedpost,What are the properties of a bedpost?,bedpost
bee,What are the properties of a bee?,bee
beehive,What are the properties of a beehive?,beehive
beer,What are the properties of a beer?,beer
beet,What are the properties of a beet?,beet
bell,What are the properties of a bell?,bell
bell pepper,What are the properties of a bell pepper?,bell_pepper
belt buckle,What are the properties of a belt buckle?,belt_buckle
berry,What are the properties of a berry?,berry
bib,What are the properties of a bib?,bib
bike,What are the properties of a bike?,bike
bikini,What are the properties of a bikini?,bikini
binder,What are the properties of a binder?,binder
binoculars,What are the properties of binoculars?,binoculars
bird,What are the properties of a bird?,bird
birdbath,What are the properties of a birdbath?,birdbath
birdcage,What are the properties of a birdcage?,birdcage
birdhouse,What are the properties of a birdhouse?,birdhouse
birthday cake,What are the properties of a birthday cake?,birthday_cake
bison,What are the properties of a bison?,bison
blackberry,What are the properties of a blackberry?,blackberry
blanket,What are the properties of a blanket?,blanket
blazer,What are the properties of a blazer?,blazer
blimp,What are the properties of a blimp?,blimp
blindfold,What are the properties of a blindfold?,blindfold
block,What are the properties of a block?,block
blower,What are the properties of a blower?,blower
blowfish,What are the properties of a blowfish?,blowfish
blowgun,What are the properties of a blowgun?,blowgun
blowtorch,What are the properties of a blowtorch?,blowtorch
boar,What are the properties of a boar?,boar
board game,What are the properties of a board game?,board_game
bobsled,What are the properties of a bobsled?,bobsled
bok choy,What are the properties of a bok choy?,bok_choy
bolo tie,What are the properties of a bolo tie?,bolo_tie
bologna,What are the properties of a bologna?,bologna
bone,What are the properties of a bone?,bone
bonnet,What are the properties of a bonnet?,bonnet
bonsai,What are the properties of a bonsai?,bonsai
bookmark,What are the properties of a bookmark?,bookmark
bookshelf,What are the properties of a bookshelf?,bookshelf
boomerang,What are the properties of a boomerang?,boomerang
boot,What are the properties of a boot?,boot
bottle opener,What are the properties of a bottle opener?,bottle_opener
boulder,What are the properties of a boulder?,boulder
bowler hat,What are the properties of a bowler hat?,bowler_hat
bowling ball,What are the properties of a bowling ball?,bowling_ball
bowtie,What are the properties of a bowtie?,bowtie
boxer shorts,What are the properties of boxer shorts?,boxer_shorts
boxing gloves,What are the properties of boxing gloves?,boxing_gloves
boy,What are the properties of a boy?,boy
brace,What are the properties of a brace?,brace
bracket,What are the properties of a bracket?,bracket
braid,What are the properties of a braid?,braid
brake,What are the properties of a brake?,brake
branch,What are the properties of a branch?,branch
brass knuckles,What are the properties of brass knuckles?,brass_knuckles
breadbox,What are the properties of a breadbox?,breadbox
breadstick,What are the properties of a breadstick?,breadstick
breakfast,What are the properties of a breakfast?,breakfast
breathalyzer,What are the properties of a breathalyzer?,breathalyzer
briefcase,What are the properties of a briefcase?,briefcase
brooch,What are the properties of a brooch?,brooch
brownie,What are the properties of a brownie?,brownie
brussels sprouts,What are the properties of brussels sprouts?,brussels_sprouts
bubble,What are the properties of a bubble?,bubble
bubble wrap,What are the properties of a bubble wrap?,bubble_wrap
buffet,What are the properties of a buffet (food)?,buffet
bug,What are the properties of a bug?,bug
bull,What are the properties of a bull?,bull
bulldozer,What are the properties of a bulldozer?,bulldozer
bulletin board,What are the properties of a bulletin board?,bulletin_board
bulletproof vest,What are the properties of a bulletproof vest?,bulletproof_vest
bun,What are the properties of a bun?,bun
bungee,What are the properties of a bungee?,bungee
bunkbed,What are the properties of a bunkbed?,bunkbed
buoy,What are the properties of a buoy?,buoy
burner,What are the properties of a burner?,burner
burrito,What are the properties of a burrito?,burrito
bush,What are the properties of a bush?,bush
butter,What are the properties of a butter?,butter
cable,What are the properties of a cable (electrical equipment)?,cable
cactus,What are the properties of a cactus?,cactus
cake mix,What are the properties of a cake mix?,cake_mix
calamari,What are the properties of calamari?,calamari
calculator,What are the properties of a calculator?,calculator
calzone,What are the properties of a calzone?,calzone
camcorder,What are the properties of a camcorder?,camcorder
camera lens,What are the properties of a camera lens?,camera_lens
camper,What are the properties of a camper?,camper
can opener,What are the properties of a can opener?,can_opener
candelabra,What are the properties of a candelabra?,candelabra
candlestick,What are the properties of a candlestick?,candlestick
candy,What are the properties of a candy?,candy
candy bar,What are the properties of a candy bar?,candy_bar
candy cane,What are the properties of a candy cane?,candy_cane
canister,What are the properties of a canister?,canister
cannonball,What are the properties of a cannonball?,cannonball
cantaloupe,What are the properties of a cantaloupe?,cantaloupe
cap,What are the properties of a cap (bottle top)?,cap
car door,What are the properties of a car door?,car_door
caramel,What are the properties of a caramel?,caramel
cardboard,What are the properties of a cardboard?,cardboard
cardigan,What are the properties of a cardigan?,cardigan
cardinal,What are the properties of a cardinal?,cardinal
carousel,What are the properties of a carousel?,carousel
carriage,What are the properties of a carriage?,carriage
cash machine,What are the properties of a cash machine?,cash_machine
cash register,What are the properties of a cash register?,cash_register
cashew,What are the properties of a cashew?,cashew
casserole,What are the properties of a casserole (food)?,casserole
cassette,What are the properties of a cassette?,cassette
catapult,What are the properties of a catapult?,catapult
catfish,What are the properties of a catfish?,catfish
caviar,What are the properties of a caviar?,caviar
cd player,What are the properties of a cd player?,cd_player
cellphone,What are the properties of a cellphone?,cellphone
cement mixer,What are the properties of a cement mixer?,cement_mixer
centerpiece,What are the properties of a centerpiece?,centerpiece
centrifuge,What are the properties of a centrifuge?,centrifuge
cereal,"What are the properties of a cereal (breakfast food, food)?",cereal
chainsaw,What are the properties of a chainsaw?,chainsaw
chalice,What are the properties of a chalice?,chalice
chalk,What are the properties of a chalk?,chalk
chalkboard,What are the properties of a chalkboard?,chalkboard
champagne,What are the properties of a champagne?,champagne
chaps,What are the properties of chaps?,chaps
charcoal,What are the properties of a charcoal?,charcoal
chariot,What are the properties of a chariot?,chariot
checkbook,What are the properties of a checkbook?,checkbook
checkers,What are the properties of a checkers?,checkers
cheeseburger,What are the properties of a cheeseburger?,cheeseburger
cheesecake,What are the properties of a cheesecake?,cheesecake
chess piece,What are the properties of a chess piece?,chess_piece
chessboard,What are the properties of a chessboard?,chessboard
chick,What are the properties of a chick?,chick
chicken wire,What are the properties of a chicken wire?,chicken_wire
chickpea,What are the properties of a chickpea?,chickpea
chihuahua,What are the properties of a chihuahua?,chihuahua
chili,What are the properties of a chili (meal)?,chili
chime,What are the properties of a chime?,chime
chimney,What are the properties of a chimney?,chimney
chin,What are the properties of a chin?,chin
chinaware,What are the properties of a chinaware?,chinaware
chinchilla,What are the properties of a chinchilla?,chinchilla
chips,What are the properties of chips?,chips
chive,What are the properties of a chive?,chive
chocolate,What are the properties of a chocolate?,chocolate
chopsticks,What are the properties of chopsticks?,chopsticks
christmas card,What are the properties of a christmas card?,christmas_card
christmas tree,What are the properties of a christmas tree?,christmas_tree
chute,What are the properties of a chute?,chute
cigarette butt,What are the properties of a cigarette butt?,cigarette_butt
cigarette holder,What are the properties of a cigarette holder?,cigarette_holder
cilantro,What are the properties of a cilantro?,cilantro
cinnamon,What are the properties of cinnamon (spice)?,cinnamon
clasp,What are the properties of a clasp?,clasp
clay,What are the properties of a clay?,clay
cleaver,What are the properties of a cleaver?,cleaver
clipboard,What are the properties of a clipboard?,clipboard
closet,What are the properties of a closet?,closet
clothes,What are the properties of clothes?,clothes
clothesline,What are the properties of a clothesline?,clothesline
clothespin,What are the properties of a clothespin?,clothespin
cloud,What are the properties of a cloud?,cloud
clove,What are the properties of a clove?,clove
clover,What are the properties of a clover?,clover
coal,What are the properties of a coal?,coal
coaster,What are the properties of a coaster?,coaster
coat rack,What are the properties of a coat rack?,coat_rack
cobra,What are the properties of a cobra?,cobra
cockatoo,What are the properties of a cockatoo?,cockatoo
cocktail,What are the properties of a cocktail?,cocktail
cocoon,What are the properties of a cocoon?,cocoon
coffee,What are the properties of a coffee?,coffee
coffee bean,What are the properties of a coffee bean?,coffee_bean
coffee filter,What are the properties of a coffee filter?,coffee_filter
coffee pot,What are the properties of a coffee pot?,coffee_pot
coffee table,What are the properties of a coffee table?,coffee_table
coffeemaker,What are the properties of a coffeemaker?,coffeemaker
coffin,What are the properties of a coffin?,coffin
coil,"What are the properties of a coil (spring, tool)?",coil
coleslaw,What are the properties of a coleslaw?,coleslaw
collar,What are the properties of a collar?,collar
combination lock,What are the properties of a combination lock?,combination_lock
comic book,What are the properties of a comic book?,comic_book
compass,What are the properties of a compass?,compass
compost,What are the properties of a compost?,compost
computer,What are the properties of a computer?,computer
computer screen,What are the properties of a computer screen?,computer_screen
confetti,What are the properties of a confetti?,confetti
contact lens,What are the properties of a contact lens?,contact_lens
container,What are the properties of a container?,container
cooker,What are the properties of a cooker?,cooker
cookie,What are the properties of a cookie?,cookie
cookie cutter,What are the properties of a cookie cutter?,cookie_cutter
cookie sheet,What are the properties of a cookie sheet?,cookie_sheet
cooler,What are the properties of a cooler?,cooler
coop,What are the properties of a coop?,coop
copier,What are the properties of a copier?,copier
coral,What are the properties of a coral?,coral
cord,What are the properties of a cord (electrical equipment)?,cord
cordon bleu,What are the properties of a cordon bleu?,cordon_bleu
corkboard,What are the properties of a corkboard?,corkboard
cornbread,What are the properties of a cornbread?,cornbread
cornhusk,What are the properties of a cornhusk?,cornhusk
cornmeal,What are the properties of a cornmeal?,cornmeal
cornucopia,What are the properties of a cornucopia?,cornucopia
corsage,What are the properties of a corsage?,corsage
corset,What are the properties of a corset?,corset
costume,What are the properties of a costume (clothing)?,costume
cot,What are the properties of a cot?,cot
