feature,changed_feature
can be stacked,is stacked
can carry large loads,carries large loads
can be white,is white
can be black,is black
can be pushed,is pushed
can be loud,is loud
can be soft,is soft
can be dangerous,is dangerous
can be eaten,is eaten
can be carried on the shoulder,is carried on the shoulder
can fly,flies
can eat wood,eats wood
can be used to kill people,is used to kill people
can cause injury,causes injury
can be deadly,is deadly
can go for days without water,goes for days without water
can fly,flies
can live without food for a long time,lives without food for a long time
can fly,flies
can kill people,kills people
can injure people,injures people
can fly high,flies high
can fly low,flies low
can be domesticated,is domesticated
can be reused,is reused
can be recycled,is recycled
can be dangerous,is dangerous
can be dangerous,is dangerous
can be dangerous,is dangerous
can be worn on the neck,is worn on the neck
can run fast,runs fast
can fly,flies
can be used to heat food,is used to heat food
can fly,flies
can be moved around,is moved around
can be turned on or off,is turned on or off
can be loaded,is loaded
can be worn on any finger,is worn on any finger
can swim,swims
can live in water,lives in water
can be used for writing,is used for writing
can dive deep underwater,doves deep underwater
can be short,is short
can be long,is long
can have a hood,has a hood
can slice through things,slices through things
can be folded up,is folded up
can produce different sounds,produces different sounds
can be used on roads,is used on roads
can be used to fly,is used to fly
can carry a lot of people,carries a lot of people
can fly,flies
can hold people,holds people
can hold cargo,holds cargo
can be put in the fridge,is put in the fridge
can be stacked,is stacked
can hold people,holds people
can move,moves
can carry people,carries people
can be eaten,is eaten
can be worn by anyone,is worn by anyone
can be eaten,is eaten
can be turned,is turned
can run fast,runs fast
can fly,flies
can swim,swims
can walk on land,walks on land
can be thrown,is thrown
can fly,flies
can fly,flies
can be used to open doors,is used to open doors
can run fast,runs fast
can fly,flies
can fly,flies
can swim,swims
can fly,flies
can hold a lot of people,holds a lot of people
can climb,climbs
can be white,is white
can be used to hit animals and people,is used to hit animals and people
can fly,flies
can be loud,is loud
can be heard,is heard
can cut,cuts
can be kicked,is kicked
can be used for decoration,is used for decoration
can be eaten raw or cooked,is eaten raw or cooked
can be eaten with rice,is eaten with rice
can be used to make ice cream,is used to make ice cream
can be used to make gravy,is used to make gravy
can be recycled,is recycled
can hold water,holds water
can carry people,carries people
can drive,drives
can break doors,breaks doors
can hold liquid,holds liquid
can be used by children,is used by children
can be played with hands,is played with hands
can fly high,flies high
can be heard,is heard
can fly,flies
can be eaten raw or cooked,is eaten raw or cooked
can be loud,is loud
can create music,creates music
can be used to chop wood,is used to chop wood
can be used to kill animals,is used to kill animals
can carry loads,carries loads
can be eaten,is eaten
can be expensive,is expensive
can be worn with a suit,is worn with a suit
can be worn with a dress,is worn with a dress
can fly,flies
can be hollowed out,is hollowed out
can play music,plays music
can be used for communication,is used for communication
can play cd 's,plays cd 's
can be used as a weapon,is used as a weapon
can be used for protection,is used for protection
can be used to build a house,is used to build a house
can be eaten,is eaten
can be found in oceans,is found in oceans
can spray,sprays
can be sharpened into a point,is sharpened into a point
can be driven,is driven
can fly,flies
can run fast,runs fast
can be used as a weapon,is used as a weapon
can be used as a walking stick,is used as a walking stick
can be heard from far away,is heard from far away
can be eaten,is eaten
can hold many people,holds many people
can hold up to 6 people,holds up to 6 people
can cause cancer,causes cancer
can fly,flies
can fly,flies
can fly,flies
can be worn on the head,is worn on the head
can be trained,is trained
