feature,changed_feature
is colourful,is colorful
does not have a colour,does not have a color
is made of fibre,is made of fiber
is used for defence,is used for defense
is used for offence,is used for offense
is colourful,is colorful
is black in colour,is black in color
is woolly,is wooly
has a centre column,has a center column
is grey,is gray
has a colour,has a color
is colourful,is colorful
has tyres,has tires
is colourful,is colorful
is colourful,is colorful
has a colour,has a color
is colourful,is colorful
is colourful,is colorful
is grey,is gray
has a strong flavour,has a strong flavor
is used for flavouring,is used for flavoring
is grey,is gray
is colourful,is colorful
is coloured,is colored
is a piece of jewellery,is a piece of jewelry
is colourful,is colorful
is a piece of jewellery,is a piece of jewelry
has a colour,has a color
has inches and centimetres on it,has inches and centimeters on it
is woollen,is woolen
is a woollen cloth,is a woolen cloth
is colourful,is colorful
is woollen,is woolen
is made of fibreglass,is made of fiberglass
does plough,does plow
is grey,is gray
has a centre,has a center
is colourful,is colorful
is colourful,is colorful
is colourful,is colorful
is used for flavouring food,is used for flavoring food
is used for flavouring,is used for flavoring
is colourful,is colorful
is used for travelling,is used for traveling
is colourful,is colorful
is used for flavouring food,is used for flavoring food
has a colour,has a color
is a piece of jewellery,is a piece of jewelry
is used for flavouring,is used for flavoring
has flavour,has flavor
is colourful,is colorful
is yellow in colour,is yellow in color
has a specific colour,has a specific color
is made of fibres,is made of fibers
is used for travelling,is used for traveling
is colourful,is colorful
is used for self - defence,is used for self - defense
is grey in colour,is gray in color
is made of fibre glass,is made of fiber glass
is used for travelling,is used for traveling
is used for ploughing,is used for plowing
has a red colour,has a red color
has a brown colour,has a brown color
is colourful,is colorful
has a white centre,has a white center
has a spare tyre,has a spare tire
does have a woolly coat,does have a wooly coat
does moult,does molt
does have a temperature gauge,does have a temperature gage
is pink in colour,is pink in color
does have a colour,does have a color
is used for ploughing fields,is used for plowing fields
is grey,is gray
has an axe head,has an ax head
is jewellery,is jewelry
is colourful,is colorful
is grey,is gray
is woolly,is wooly
is grey,is gray
is grey,is gray
is grey,is gray
is colourful,is colorful
has a centre,has a center
has a green colour,has a green color
has colours,has colors
has a soft centre,has a soft center
is colourful,is colorful
is made of fibre,is made of fiber
is used to colour,is used to color
is coloured,is colored
is coloured yellow,is colored yellow
is coloured red,is colored red
is grey,is gray
is colourful,is colorful
is grey,is gray
is green in colour,is green in color
is used to flavour food,is used to flavor food
has an axe head,has an ax head
is colourful,is colorful
is red in colour,is red in color
is colourful,is colorful
is for flavouring,is for flavoring
is the same colour as wood,is the same color as wood
is grey,is gray
is used for fertiliser,is used for fertilizer
is colourful,is colorful
is used for ploughing,is used for plowing
has a tyre,has a tire
is colourful,is colorful
is sand - coloured,is sand - colored
is light coloured,is light colored
is used for ploughing,is used for plowing
is used for signalling,is used for signaling
has a colour,has a color
has a soft centre,has a soft center
has a flavour,has a flavor
is yellow in colour,is yellow in color
has bright colours,has bright colors
is used for self - defence,is used for self - defense
is a piece of jewellery,is a piece of jewelry
has a centre,has a center
is used to plough a field,is used to plow a field
has a centre,has a center
is colourful,is colorful
has a flavour,has a flavor
has a colour,has a color
has a flavour,has a flavor
is coloured,is colored
has a centre,has a center
is colourful,is colorful
is used for school buses,is used for school busses
is colourful,is colorful
is white in colour,is white in color
is a disc,is a disk
is a small disc,is a small disk
is used for colouring,is used for coloring
is grey,is gray
is grey,is gray
has a strong flavour,has a strong flavor
is a piece of armour,is a piece of armor
changes colour,changes color
has a green colour,has a green color
is a piece of jewellery,is a piece of jewelry
is colourful,is colorful
is red in colour,is red in color
is made from fibres,is made from fibers
is made of fibreglass,is made of fiberglass
is used to plough,is used to plow
is used to pull ploughs,is used to pull plows
has a tyre,has a tire
does come in different colours,does come in different colors
is colourful,is colorful
has a soft centre,has a soft center
is colourful,is colorful
is coloured orange,is colored orange
has a natural colour,has a natural color
is coloured,is colored
comes in different colours,comes in different colors
is grey,is gray
is grey,is gray
is colourful,is colorful
has a woolly coat,has a wooly coat
has a colour,has a color
has a temperature gauge,has a temperature gage
is colourful,is colorful
is savoury,is savory
is grey,is gray
has colour,has color
is colourful,is colorful
is red or brown in colour,is red or brown in color
is colourful,is colorful
is a colourful,is a colorful
is colourful,is colorful
is grey,is gray
is grey,is gray
has a woolly coat,has a wooly coat
is colourful,is colorful
is a colour,is a color
is a purple colour,is a purple color
is grey,is gray
has no colour,has no color
has no colour,has no color
is a jewellery,is a jewelry
is made of fibres,is made of fibers
is a natural fibre,is a natural fiber
is a fibre,is a fiber
is a piece of armour,is a piece of armor
is grey,is gray
is used to plough the fields,is used to plow the fields
has a centre,has a center
has a tyre,has a tire
is in the centre,is in the center
is coloured white,is colored white
has a colour,has a color
is colourful,is colorful
has a flavour,has a flavor
is colourful,is colorful
has beautiful colours,has beautiful colors
does have a soft centre,does have a soft center
is colourful,is colorful
is coloured,is colored
has a colour,has a color
is grey,is gray
is colourful,is colorful
is colourful,is colorful
is a piece of jewellery,is a piece of jewelry
does have a pithy centre,does have a pithy center
has a temperature gauge,has a temperature gage
is colourful,is colorful
has a colourful plumage,has a colorful plumage
is used for colouring,is used for coloring
is grey,is gray
