feature,changed_feature
it has a cross-piece,it has a cross - piece
it has a ship's log book,it has a ship 's log book
it is a girl's toy,it is a girl 's toy
it does have four-wheel drive,it does have four - wheel drive
it has an on/off switch,it has an on / off switch
it is brush-like,it is brush - like
"it makes a ""hoot"" sound","it makes a "" hoot "" sound"
it is an egg-laying mammal,it is an egg - laying mammal
it is a duck-billed mammal,it is a duck - billed mammal
it is a fur-bearer,it is a fur - bearer
it has foot-straps,it has foot - straps
it is used for self-defence,it is used for self - defence
it has a blow-hole,it has a blow - hole
it has a nose-leaf,it has a nose - leaf
it is made of cow's milk,it is made of cow 's milk
it is made from cow's milk,it is made from cow 's milk
it can run up to 100km/h,it can run up to 100 km/h
it is a four-wheel drive,it is a four - wheel drive
it has a driver's seat,it has a driver 's seat
it has a driver's seat,it has a driver 's seat
it has a paddle-shaped tail,it has a paddle - shaped tail
it is a shirt-like garment,it is a shirt - like garment
it is long-haired,it is long - haired
it is a duck-billed platypus,it is a duck - billed platypus
it is sand-coloured,it is sand - coloured
it is long-tailed,it is long - tailed
it has an oval-shaped body,it has an oval - shaped body
it is three-wheeled,it is three - wheeled
it is hand-held,it is hand - held
it is cold-blooded,it is cold - blooded
it is used for self-defence,it is used for self - defence
it is a four-legged animal,it is a four - legged animal
it is an off-road vehicle,it is an off - road vehicle
it has an on/off switch,it has an on / off switch
it is cold-blooded,it is cold - blooded
it is sand-like,it is sand - like
it is a woman's garment,it is a woman 's garment
it is a loose-fitting top,it is a loose - fitting top
it has a three-legged structure,it has a three - legged structure
it is one-wheeled,it is one - wheeled
it is hand-rolled,it is hand - rolled
it is associated with old-fashioned gentlemen,it is associated with old - fashioned gentlemen
it does have an on/off switch,it does have an on / off switch
it is a woman's garment,it is a woman 's garment
it is made from cow's milk,it is made from cow 's milk
it is a roll-up,it is a roll - up
it is a roll-up,it is a roll - up
it is a roll-up,it is a roll - up
it is a non-sweet fruit,it is a non - sweet fruit
it is a girl's toy,it is a girl 's toy
it has a snake-like appearance,it has a snake - like appearance
it is a cold-blooded animal,it is a cold - blooded animal
it has a dog-like face,it has a dog - like face
it is a four-wheel drive,it is a four - wheel drive
it is an off-road vehicle,it is an off - road vehicle
it is pinkish-brown,it is pinkish - brown
it has a duck's bill,it has a duck 's bill
it has a beaver's tail,it has a beaver 's tail
it is a two-piece,it is a two - piece
it is a woman's item,it is a woman 's item
it has a driver's seat,it has a driver 's seat
it is long-ranged,it is long - ranged
it is long-necked,it is long - necked
it is an off-road vehicle,it is an off - road vehicle
it has a driver's seat,it has a driver 's seat
it is used for make-up,it is used for make - up
it is a two-wheeler,it is a two - wheeler
it is an egg-laying mammal,it is an egg - laying mammal
