index,concept_id,feature,name,source
0,butterfly,is delicate,gpt_3_filtered,gpt
1,gin,is an alcoholic drink,cslb,human
2,folder,is a folder,gpt_3_filtered,gpt
3,kayak,is entertaining,cslb,human
4,cheese,is melted,gpt_3_filtered_overlap,gpt
5,pet_food,has carbohydrates,gpt_3_filtered,gpt
6,ambulance,is fast,mcrae,human
7,zebra,does live in herds,cslb,human
8,trousers,is worn on the lower body,cslb,human
9,spoon,used for serving food,mcrae,human
10,birch,is tall,mcrae,human
11,chicken2,lays eggs,gpt_3_unfiltered,gpt
12,home_plate,has a rim around the edge,gpt_3_filtered,gpt
13,lifesaver,is used for safety,gpt_3_filtered,gpt
14,swimsuit,is used to swim,gpt_3_filtered_overlap,gpt
15,strawberry,is juicy,mcrae,human
16,roll,is baked in an oven,gpt_3_filtered,gpt
17,trout,is alive,cslb,human
18,bottle,is clear,cslb,human
19,donkey,is grey,cslb,human
20,porcupine,has four legs,gpt_3_filtered,gpt
21,ferris_wheel,is used to entertain,gpt_3_unfiltered,gpt
22,peacock,is associated with royalty,gpt_3_filtered_overlap,gpt
23,pie,has a crust,cslb,human
24,dictionary,is a book,cslb,human
25,skateboard,does jump,cslb,human
26,coffee,is used for espresso,gpt_3_unfiltered,gpt
27,dumbwaiter,is used in houses,gpt_3_filtered,gpt
28,lantern,is used for emergencies,gpt_3_filtered_overlap,gpt
29,saucer,is breakable,mcrae,human
30,windowsill,is found on top of windows,gpt_3_unfiltered,gpt
31,grenade,is an explosive,gpt_3_filtered,gpt
32,crowbar,is strong,gpt_3_filtered_overlap,gpt
33,fence,is a boundary,cslb,human
34,sprinkler,is used to play with water,gpt_3_filtered,gpt
35,plug_(electric),found on walls,mcrae,human
36,tractor,is strong,cslb,human
37,guppy,lives in aquariums,mcrae,human
38,butterfly,flies in the air,gpt_3_filtered,gpt
39,table,is used to write on,gpt_3_filtered_overlap,gpt
40,peanut,is tasty,cslb,human
41,bunkbed,has a cover,gpt_3_filtered,gpt
42,seahorse,is used in aquariums,gpt_3_unfiltered,gpt
43,eggplant,grows in gardens,mcrae,human
44,crab,is hunted by people,gpt_3_filtered_overlap,gpt
45,hoe,is handheld,cslb,human
46,finch,sings,mcrae,human
47,jeans,is used for fashion,gpt_3_filtered_overlap,gpt
48,screwdriver,is used to turn,gpt_3_filtered_overlap,gpt
49,videogame,is an electronic device,gpt_3_filtered,gpt
50,oven,is electrical,gpt_3_filtered_overlap,gpt
51,projector,is small,gpt_3_filtered_overlap,gpt
52,pansy,is found in a pot,cslb,human
53,water_cooler,is used for drinks,gpt_3_unfiltered,gpt
54,birthday_cake,is eaten with a fork,gpt_3_filtered,gpt
55,footprint,has a heel pattern,gpt_3_unfiltered,gpt
56,pelican,does lay eggs,cslb,human
57,headlamp,is worn on the hand,gpt_3_filtered,gpt
58,bull,a mammal,mcrae,human
59,kale,grows in fields,gpt_3_filtered,gpt
60,table,is a piece of furniture,gpt_3_filtered_overlap,gpt
61,pony,a horse,mcrae,human
62,trowel,is used on flowerbeds,cslb,human
63,hail,has seeds,gpt_3_filtered,gpt
64,chestnut,is spherical,cslb,human
65,armour,worn for protection,mcrae,human
66,willow,is green,cslb,human
67,elephant,is gray,gpt_3_filtered,gpt
68,cockerel,is aggressive,cslb,human
69,rhubarb,has a long stalk,gpt_3_filtered_overlap,gpt
70,nut,is found on the ground,gpt_3_filtered,gpt
71,plough,is sharp,cslb,human
72,tank1,used by armies,mcrae,human
73,bowtie,has a small knot,gpt_3_unfiltered,gpt
74,knickers,is patterned,cslb,human
75,tumbleweed,has a hard shell,gpt_3_unfiltered,gpt
76,cake,is circular,cslb,human
77,cigarette,is a tobacco product,gpt_3_filtered_overlap,gpt
78,ski,is made of wood,gpt_3_filtered,gpt
79,shirt,worn on torso,mcrae,human
80,canoe,made of plastic,cslb,human
81,blouse,has a hem,gpt_3_filtered_overlap,gpt
82,chip,is black,gpt_3_filtered,gpt
83,crab,is found in seas,cslb,human
84,olive,is eaten as a snack,gpt_3_filtered_overlap,gpt
85,pen,has a grip,gpt_3_filtered_overlap,gpt
86,bagpipes,has a bag of air,cslb,human
87,ring,made of gold,mcrae,human
88,crayon,is a pencil,cslb,human
89,pear,has seeds inside,gpt_3_filtered_overlap,gpt
90,microwave,is useful,cslb,human
91,gourd,has a skin,gpt_3_filtered,gpt
92,birch,has bark,mcrae,human
93,plate,made of china,mcrae,human
94,robe,made of terry cloth,mcrae,human
95,valium,is a pill,cslb,human
96,guitar,produces music,mcrae,human
97,chainsaw,is used to clear land,gpt_3_filtered,gpt
98,raisin,is sweet,cslb,human
99,whip,has eyelashes,gpt_3_filtered_overlap,gpt
100,microphone,is used to amplify sounds,gpt_3_unfiltered,gpt
101,bottle,has a lid,mcrae,human
102,bat2,has a long handle,gpt_3_filtered,gpt
103,veil,is a fabric,gpt_3_filtered,gpt
104,bomb,has a timer,gpt_3_filtered_overlap,gpt
105,deckchair,has a back,cslb,human
106,seaweed,is harvested,gpt_3_filtered_overlap,gpt
107,pocket_watch,is silver,gpt_3_filtered,gpt
108,snowman,lives in winter,gpt_3_unfiltered,gpt
109,pony,is an animal,gpt_3_unfiltered,gpt
110,kite,is used to fly,gpt_3_filtered_overlap,gpt
111,knitting_needle,is used to make different shapes,gpt_3_unfiltered,gpt
112,shower_curtain,has a bathtub,gpt_3_filtered,gpt
113,easter_egg,has a hard shell,gpt_3_filtered,gpt
114,taxi,drives on roads,gpt_3_filtered_overlap,gpt
115,canvas,has a frame,gpt_3_filtered,gpt
116,grenade,is used to destroy buildings,gpt_3_filtered_overlap,gpt
117,guillotine,is sharp,gpt_3_filtered,gpt
118,macaroni,is a carbohydrate,gpt_3_filtered,gpt
119,microphone,is a musical instrument,gpt_3_filtered,gpt
120,tablet,is mobile,gpt_3_filtered,gpt
121,cucumber,is eaten raw,cslb,human
122,tyre,is sold,cslb,human
123,fungus,grows in the woods,gpt_3_filtered,gpt
124,loincloth,covers the genitals,gpt_3_unfiltered,gpt
125,puppy,is an animal,gpt_3_filtered,gpt
126,springboard,has a metal spring,gpt_3_unfiltered,gpt
127,moth,is furry,gpt_3_filtered_overlap,gpt
128,button2,is plastic,gpt_3_filtered,gpt
129,saw,is made of steel,gpt_3_filtered,gpt
130,knife,does cut,cslb,human
131,tack,is used to hang things up,gpt_3_unfiltered,gpt
132,staple_gun,is used to hold,gpt_3_unfiltered,gpt
133,toad,is slow,gpt_3_filtered_overlap,gpt
134,minnow,is found in seas,cslb,human
135,hammer,made of metal,mcrae,human
136,squirrel,hibernates,mcrae,human
137,vegetable,has skin,gpt_3_filtered,gpt
138,shredder,is used to shred documents,gpt_3_unfiltered,gpt
139,tractor,is used on farms,gpt_3_filtered_overlap,gpt
140,doorknob,used by turning,mcrae,human
141,dragonfly,is an insect,gpt_3_unfiltered,gpt
142,slot_machine,has sounds,gpt_3_filtered,gpt
143,dog,is man's best friend,cslb,human
144,zipper,is useful,gpt_3_filtered,gpt
145,prune,is good for digestion,cslb,human
146,rabbit,an animal,mcrae,human
147,tomahawk,a weapon,mcrae,human
148,music_box,is made of different materials,gpt_3_filtered,gpt
149,limousine,has a top,gpt_3_filtered_overlap,gpt
150,boots,is warm,cslb,human
151,bread,is round,gpt_3_filtered,gpt
152,coyote,hunts,mcrae,human
153,sauerkraut,is eaten by cooking,gpt_3_unfiltered,gpt
154,whip,used on lions,mcrae,human
155,rocket,is made of metal,gpt_3_filtered_overlap,gpt
156,calf1,has 4 hoofs,mcrae,human
157,ship,is a big boat,cslb,human
158,lobster,has eyes on its legs,gpt_3_unfiltered,gpt
159,cherry,is used to cook,gpt_3_filtered_overlap,gpt
160,hook2,is used to cut things,gpt_3_unfiltered,gpt
161,football_helmet,is used for football,gpt_3_filtered,gpt
162,sandpaper,does DIY,cslb,human
163,oven,has a door,mcrae,human
164,noisemaker,is not edible,gpt_3_unfiltered,gpt
165,dresser,is made of wood,gpt_3_unfiltered,gpt
166,fence,surrounds yards,mcrae,human
167,riser,is used to sit and standing on,gpt_3_unfiltered,gpt
168,trolley,has a motor,gpt_3_filtered_overlap,gpt
169,cushion,is used to relax,gpt_3_filtered_overlap,gpt
170,cup,different shapes,mcrae,human
171,wrap,has chicken,gpt_3_filtered,gpt
172,scaffold,is made of wood,gpt_3_filtered,gpt
173,sparrow,is alive,cslb,human
174,melon,is in fruit salad,cslb,human
175,pony,is a small horse,cslb,human
176,cruise_ship,has a mirror,gpt_3_filtered,gpt
177,piano,has pedals,mcrae,human
178,avocado,is delicious,gpt_3_filtered_overlap,gpt
179,navel,is an organ,gpt_3_unfiltered,gpt
180,spirit_level,is straight,cslb,human
181,dog,has a tail,mcrae,human
182,backscratcher,is used to scratch skin,gpt_3_unfiltered,gpt
183,currant,is used for baking,cslb,human
184,hose,has different colors,gpt_3_filtered_overlap,gpt
185,sweet_potato,has skin,cslb,human
186,tent,has windows,cslb,human
187,yam,tastes sweet,mcrae,human
188,parakeet,does fly,cslb,human
189,scissors,has 2 blades,mcrae,human
190,rock,is hard,mcrae,human
191,penguin,does live in Antarctica,cslb,human
192,bowl,is small,gpt_3_filtered_overlap,gpt
193,deer,is a herbivore,gpt_3_filtered_overlap,gpt
194,hot-air_balloon,has a fire,gpt_3_filtered,gpt
195,hay,has water,gpt_3_filtered,gpt
196,bookmark,is used to hold the book open,gpt_3_unfiltered,gpt
197,eye,is hazel,cslb,human
198,candelabra,has a design,gpt_3_unfiltered,gpt
199,guppy,is small,mcrae,human
200,violin,has a hollow body,gpt_3_filtered_overlap,gpt
201,veil,is fragile,cslb,human
202,screwdriver,is small,gpt_3_filtered_overlap,gpt
203,eggplant,is edible,mcrae,human
204,dashboard,is used to protect the driver,gpt_3_unfiltered,gpt
205,crow,caws,mcrae,human
206,surfboard,has fins,gpt_3_filtered_overlap,gpt
207,root,is used for carrots,gpt_3_filtered,gpt
208,navel,is found on the belly,gpt_3_unfiltered,gpt
209,refrigerator,is used to hold food,gpt_3_unfiltered,gpt
210,level,has bubbles,mcrae,human
211,snowplow,is used to push snow,gpt_3_unfiltered,gpt
212,clothes,is made of wool,gpt_3_unfiltered,gpt
213,rocket,requires fuel,gpt_3_filtered_overlap,gpt
214,manatee,is small,gpt_3_filtered,gpt
215,soup,is salty,cslb,human
216,canary,has feathers,mcrae,human
217,blouse,is a piece of clothing,gpt_3_filtered_overlap,gpt
218,train,has a seat,cslb,human
219,tumbleweed,is used for art,gpt_3_filtered,gpt
220,asparagus,is edible,mcrae,human
221,cork,is reused,gpt_3_filtered_overlap,gpt
222,groundhog,a rodent,mcrae,human
223,paper_towel,is used to clean glass,gpt_3_filtered,gpt
224,couch,made of material,mcrae,human
225,bicycle,is environmentally friendly,cslb,human
226,ice_cube,is used for drinks,gpt_3_filtered,gpt
227,apron,is worn on the body,gpt_3_filtered,gpt
228,cake,is tasty,cslb,human
229,scone,is served with jam,gpt_3_unfiltered,gpt
230,pin,pricks fingers,mcrae,human
231,ink,is made of dyes,gpt_3_unfiltered,gpt
232,faucet,has a lever,gpt_3_filtered,gpt
233,cookie_sheet,has a long handle,gpt_3_filtered,gpt
234,stereo,used for listening,mcrae,human
235,quill,has a pointy end,gpt_3_filtered,gpt
236,spider,has long legs,gpt_3_filtered,gpt
237,land_rover,has a windscreen,cslb,human
238,calamari,is served in restaurants,gpt_3_filtered,gpt
239,tuba,is a fruit,gpt_3_unfiltered,gpt
240,marijuana,is used for tea,gpt_3_filtered,gpt
241,treasure,is used to buy things and people search for them,gpt_3_unfiltered,gpt
242,hobbyhorse,is small,gpt_3_filtered,gpt
243,breadbox,is a container,gpt_3_filtered,gpt
244,statue,is old,gpt_3_filtered,gpt
245,duckling,quacks,gpt_3_filtered,gpt
246,chair,has a cushion,mcrae,human
247,flamingo,lives on land,gpt_3_filtered,gpt
248,tomato,is found in Britain,cslb,human
249,horse,used for working,mcrae,human
250,radish,comes in bunches,gpt_3_filtered_overlap,gpt
251,butterfly,has a proboscis,cslb,human
252,gas_mask,is a helmet,gpt_3_unfiltered,gpt
253,cigar,contains tobacco,gpt_3_filtered_overlap,gpt
254,hummingbird,is blue,cslb,human
255,doughnut,is fried,cslb,human
256,stick,has a pointy end,gpt_3_filtered_overlap,gpt
257,cannon,shoots projectiles,gpt_3_filtered,gpt
258,revolver,requires bullets,mcrae,human
259,octopus,has fins,gpt_3_filtered_overlap,gpt
260,rice,grows in water,gpt_3_filtered,gpt
261,goldfish,swims,mcrae,human
262,gutter,is in the street,gpt_3_unfiltered,gpt
263,ladybug,lays eggs,gpt_3_filtered,gpt
264,frisbee,is associated with summer,gpt_3_filtered,gpt
265,walrus,has large teeth,mcrae,human
266,coin,used for buying items,mcrae,human
267,jar,is used to store jam,cslb,human
268,baton3,is used in marching,gpt_3_unfiltered,gpt
269,jeans,is pants,gpt_3_filtered_overlap,gpt
270,sparrow,does eat seeds,cslb,human
271,skirt,is worn for dancing,gpt_3_filtered_overlap,gpt
272,hotdog,has a roll,gpt_3_filtered,gpt
273,hamster,has a pouch,gpt_3_filtered_overlap,gpt
274,microscope,has a light source,gpt_3_filtered_overlap,gpt
275,button2,has a purpose,gpt_3_unfiltered,gpt
276,asparagus,is healthy,mcrae,human
277,wagon,made of wood,mcrae,human
278,pigeon,has legs,cslb,human
279,envelope,is white,mcrae,human
280,couch,associated with couch potato,mcrae,human
281,cake,has candles,cslb,human
282,juice,is made of juice,gpt_3_unfiltered,gpt
283,pig,climbs,gpt_3_unfiltered,gpt
284,jellyfish,has species,cslb,human
