label,feature,new_feature
other perceptual,is noisy_loud,is noisy 
other perceptual,is noisy_loud,is loud
functional,is played_does play,is played
functional,is played_does play,does play
other perceptual,does make sound_a noise,does make sound
other perceptual,does make sound_a noise,does make a noise
visual perceptual,has a handle_handles,has a handle
visual perceptual,has a handle_handles,has handles
visual perceptual,has a strap_straps,has a strap
visual perceptual,has a strap_straps,has straps
functional,does carry_transport people,does carry people
functional,does carry_transport people,does transport people
functional,does carry_transport,does carry
functional,does carry_transport,does transport
visual perceptual,is big_large,is big
visual perceptual,is big_large,is large
visual perceptual,has a seat_seats,has a seat
visual perceptual,has a seat_seats,has seats
encyclopaedic,is aerodynamic_streamlined,aerodynamic
encyclopaedic,is aerodynamic_streamlined,streamlined
functional,does carry_transport goods,does carry goods
functional,does carry_transport goods,does transport goods
encyclopaedic,has technology_is technological,has technology
encyclopaedic,has technology_is technological,is technological
functional,is used in army_military,is used in army
functional,is used in army_military,is used in military
functional,is a carnivore_eats meat,is a carnivore
functional,is a carnivore_eats meat,eats meat
functional,does drive_is driven,is driven
functional,does drive_is driven,does drive
encyclopaedic,has a bed_beds,has a bed
encyclopaedic,has a bed_beds,has beds
encyclopaedic,is found on boats_ships,is found on boats
encyclopaedic,is found on boats_ships,is found on ships
visual perceptual,has pips_seeds,has pips
visual perceptual,has pips_seeds,has seeds
visual perceptual,has a stalk_stem,has a stalk
visual perceptual,has a stalk_stem,has a stem
visual perceptual,is circular_round,is circular
visual perceptual,is circular_round,is round
visual perceptual,has skin_peel,has peel
visual perceptual,has skin_peel,has skin
functional,is eaten_edible,is eaten
functional,is eaten_edible,is edible
other perceptual,is sour_sharp_acidic,is sour
other perceptual,is sour_sharp_acidic,is sharp
other perceptual,is sour_sharp_acidic,is acidic
visual perceptual,made of fabric_cloth_material,made of fabric
visual perceptual,made of fabric_cloth_material,made of cloth
visual perceptual,made of fabric_cloth_material,made of material
visual perceptual,has a picture_pictures,has a picture
visual perceptual,has a picture_pictures,has pictures
functional,is for women_females_girls,is for women
functional,is for women_females_girls,is for females
functional,is for women_females_girls,is for girls
functional,is used by cooks_chefs,is used by cooks
functional,is used by cooks_chefs,is used by chefs
encyclopaedic,is necessary_essential,is necessary
encyclopaedic,is necessary_essential,is essential
encyclopaedic,is found in homes_houses,is found in homes
encyclopaedic,is found in homes_houses,is found in houses
other perceptual,is squashy_squidgy_squishy,is squashy
other perceptual,is squashy_squidgy_squishy,is squidgy
other perceptual,is squashy_squidgy_squishy,is squishy
functional,is used in battle_war,is used in battle
functional,is used in battle_war,is used in war
encyclopaedic,is ancient_medieval,is ancient
encyclopaedic,is ancient_medieval,is medieval
encyclopaedic,is sold_bought in supermarkets_shops,is sold in supermarkets
encyclopaedic,is sold_bought in supermarkets_shops,is sold in shops
encyclopaedic,is sold_bought in supermarkets_shops,is bought in supermarkets
encyclopaedic,is sold_bought in supermarkets_shops,is bought in shops
other perceptual,is disgusting_taste bad,is disgusting
other perceptual,is disgusting_taste bad,taste bad
functional,does contain_hold,does contain
functional,does contain_hold,does hold
other perceptual,does smell_is smelly,does smell
other perceptual,does smell_is smelly,is smelly
visual perceptual,made of ceramic_china_clay_porcelain,made of ceramic
visual perceptual,made of ceramic_china_clay_porcelain,made of china
visual perceptual,made of ceramic_china_clay_porcelain,made of clay
visual perceptual,made of ceramic_china_clay_porcelain,made of porcelain
visual perceptual,is rectangular_square,is rectangular
visual perceptual,is rectangular_square,is square
encyclopaedic,is found in Britain_UK_England,is found in Britain
encyclopaedic,is found in Britain_UK_England,is found in UK
encyclopaedic,is found in Britain_UK_England,is found in England
encyclopaedic,is sold_bought,is sold
encyclopaedic,is sold_bought,is bought
visual perceptual,has hard_tough skin,has hard skin
visual perceptual,has hard_tough skin,has tough skin
encyclopaedic,is fatty_fattening,is fattening
encyclopaedic,is fatty_fattening,is fatty
functional,does cut_chop wood,does cut wood
functional,does cut_chop wood,does chop wood
visual perceptual,has a blade_blades,has a blade
visual perceptual,has a blade_blades,has blades
other perceptual,does smell good_nice,does smell good
other perceptual,does smell good_nice,does smell nice
visual perceptual,made of cardboard_card,made of cardboard
visual perceptual,made of cardboard_card,made of card
encyclopaedic,is entertaining_fun,is entertaining
encyclopaedic,is entertaining_fun,is fun
visual perceptual,has a knot_knots,has a knot
visual perceptual,has a knot_knots,has knots
encyclopaedic,is fragile_delicate,is delicate
encyclopaedic,is fragile_delicate,is fragile
functional,is for leisure_pleasure,is for leisure
functional,is for leisure_pleasure,is for pleasure
functional,is watertight_waterproof,is watertight
functional,is watertight_waterproof,is waterproof
functional,does hold_contain liquid_water,does hold liquid
functional,does hold_contain liquid_water,does hold water
functional,does hold_contain liquid_water,does contain liquid
functional,does hold_contain liquid_water,does contain water
visual perceptual,has fur_hair,has fur
visual perceptual,has fur_hair,has hair
functional,does eat rodents_mice,does eat rodents
functional,does eat rodents_mice,does eat mice
visual perceptual,has a grip_grips,has a grip
visual perceptual,has a grip_grips,has grips
encyclopaedic,does come in cans_tins,does come in cans
encyclopaedic,does come in cans_tins,does come in tins
encyclopaedic,is found in forests_woods,is found in woods
encyclopaedic,is found in forests_woods,is found in forests
encyclopaedic,is clever_intelligent,is clever
encyclopaedic,is clever_intelligent,is intelligent
encyclopaedic,made of water_is watery,made of water
encyclopaedic,made of water_is watery,is watery
visual perceptual,is clear_transparent,is clear
visual perceptual,is clear_transparent,is transparent
visual perceptual,does scuttle_scurry,does scuttle
visual perceptual,does scuttle_scurry,does scurry
visual perceptual,does go through a belt hole_loops,does go through a belt hole
visual perceptual,does go through a belt hole_loops,does go through a belt loops
encyclopaedic,is found in_on cars,is found in cars
encyclopaedic,is found in_on cars,is found on cars
visual perceptual,has a pedal_pedalshas a pedal
visual perceptual,has a pedal_pedals,has pedals
visual perceptual,has a tyre_tyres,has a tyre
visual perceptual,has a tyre_tyres,has tyres
encyclopaedic,is pretty_attractive_beautiful,is pretty
encyclopaedic,is pretty_attractive_beautiful,is attractive
encyclopaedic,is pretty_attractive_beautiful,is beautiful
visual perceptual,has a sharp blade_blades,has a sharp blade
visual perceptual,has a sharp blade_blades,has sharp blades
visual perceptual,has a bow_front,has a bow
visual perceptual,has a bow_front,has a front
visual perceptual,has a wire_cord_cable,has a cord
visual perceptual,has a wire_cord_cablehas a cable
visual perceptual,has a wire_cord_cable,has a wire
encyclopaedic,is forbidden_illegal,is forbidden
encyclopaedic,is forbidden_illegal,is illegal
visual perceptual,has a door_doors,has a door
visual perceptual,has a door_doors,has doors
visual perceptual,has a bow_ribbon,has a bow
visual perceptual,has a bow_ribbon,has a ribbon
functional,is given by boys_men,is given by boys
functional,is given by boys_men,is given by men
encyclopaedic,made of carbohydrate_starch,made of carbohydrate
encyclopaedic,made of carbohydrate_starch,made of starch
functional,is used to build_used by builders,is used to build by builders
functional,is used to build_used by builders,is used to used by builders
functional,does contain_hold_liquid,does contain liquid
functional,does contain_hold_liquid,does hold liquid
encyclopaedic,does speak_talk,does speak
encyclopaedic,does speak_talk,does talk
other perceptual,is tasteless_bland,is bland
other perceptual,is tasteless_bland,is tasteless
visual perceptual,has a sharp edge_edges,has sharp edges
visual perceptual,has a sharp edge_edges,has a sharp edge
encyclopaedic,does use fuel_diesel_petrol,does use fuel
encyclopaedic,does use fuel_diesel_petrol,does use diesel
encyclopaedic,does use fuel_diesel_petrol,does use petrol
encyclopaedic,has a toilet_toilets,has toilets
encyclopaedic,has a toilet_toilets,has a toilet
visual perceptual,has seeds_pips,has seeds
visual perceptual,has seeds_pips,has pips
functional,does breed_mate,does breed
functional,does breed_mate,does mate
visual perceptual,has a hinge_hinges,has a hinge
visual perceptual,has a hinge_hinges,has hinges
visual perceptual,has grains_granules,has grains
visual perceptual,has grains_granules,has granules
functional,is used in restaurants_cafes,is used in restaurants
functional,is used in restaurants_cafes,is used in cafes
encyclopaedic,is Mediterranean_in Mediterranean cookery,in Mediterranean cookery
encyclopaedic,is Mediterranean_in Mediterranean cookery,is Mediterranean
functional,is hunted_is prey,is hunted
functional,is hunted_is prey,is prey
encyclopaedic,is shy_timid,is shy
encyclopaedic,is shy_timid,is timid
encyclopaedic,does stunts_tricks,does stunts
encyclopaedic,does stunts_tricks,does tricks
encyclopaedic,is found in_on a pond,is found in a pond
encyclopaedic,is found in_on a pond,is found on a pond
visual perceptual,has ivory horn_tusks,has ivory horn
visual perceptual,has ivory horn_tusks,has ivory tusks
encyclopaedic,has cones_cells,has cones
encyclopaedic,has cones_cells,has cells
visual perceptual,has a cabin_cabins,has a cabin
visual perceptual,has a cabin_cabins,has cabins
visual perceptual,has a nail_nails,has a nail
visual perceptual,has a nail_nails,has nails
encyclopaedic,is Italian_used in Italian cooking,is Italian
encyclopaedic,is Italian_used in Italian cooking,is used in Italian cooking
other perceptual,does baa_bleat,does baa
other perceptual,does baa_bleat,does bleat
functional,is worn at bedtime_night,is worn at bedtime
functional,is worn at bedtime_night,is worn at night
encyclopaedic,is found in_on the body,is found in the body
encyclopaedic,is found in_on the body,is found on the body
visual perceptual,has black seeds_pips,has black pips
visual perceptual,has black seeds_pips,has black seeds
encyclopaedic,does laze_is lazy,does laze
encyclopaedic,does laze_is lazy,is lazy
other perceptual,is hot_spicy,is hot
other perceptual,is hot_spicy,is spicy
functional,is for washing_laundry,is for washing
functional,is for washing_laundry,is for laundry
functional,does burrow_dig,does dig
functional,does burrow_dig,does burrow
functional,does measure distance_length,does measure length
functional,does measure distance_length,does measure distance
functional,is used to perform_by performers,is used by performers
functional,is used to perform_by performers,is used to perform
