feature,changed_feature
is used for eating,is used to eat
is used for sitting,is used to sit
is used for studying,is used to study
is used for camping,is used to camp
is used for sleeping,is used to sleep
is used for cooking,is used to cook
is used for cooking food,is used to cook food
is used for cooking,is used to cook
is used for cooking,is used to cook
is used for grabbing,is used to grab
is used for turning food,is used to turn food
is used for farming,is used to farm
is used for farming,is used to farm
is used for farming,is used to farm
is used for farming,is used to farm
is used for playing music,is used to play music
is used for eating,is used to eat
is used for writing,is used to write
is used for typing,is used to type
is used for writing,is used to write
is used for riding,is used to ride
is used for transporting,is used to transport
is used for eating,is used to eat
is used for carrying,is used to carry
is used for gardening,is used to garden
is used for moving things,is used to move things
is used for flogging,is used to flog
is used for sailing,is used to sail
is used for riding,is used to ride
is used for hunting,is used to hunt
is used for smoking,is used to smoke
is used for brushing,is used to brush
is used for grooming,is used to groom
is used for sitting on,is used to sit on
is used for sewing,is used to sew
is used for fastening,is used to fasten
is used for making clothes,is used to make clothes
is used for eating,is used to eat
is used for smoking,is used to smoke
is used for cutting,is used to cut
is used for carrying things,is used to carry things
is used for sleeping,is used to sleep
is used for holding up pants,is used to hold up pants
is used for sitting,is used to sit
is used for sweeping,is used to sweep
is used for carrying goods,is used to carry goods
is used for sitting,is used to sit
is used for writing,is used to write
is used for drinking,is used to drink
is used for studying,is used to study
is used for storing clothes,is used to store clothes
is used for cutting,is used to cut
is used for gardening,is used to garden
is used for cooking,is used to cook
is used for drinking,is used to drink
is used for cooking,is used to cook
is used for baking,is used to bake
is used for writing,is used to write
is used for writing,is used to write
is used for resting your head,is used to rest your head
are used for gripping,are used to grip
are used for pulling,are used to pull
is used for keeping warm,is used to keep warm
are used for cutting,are used to cut
are used for crafting,are used to craft
is used for gardening,is used to garden
is used for eating,is used to eat
is used for writing,is used to write
is used for cooking,is used to cook
is used for draining water,is used to drain water
is used for surfing,is used to surf
is worn for swimming,is worn to swim
is used for fighting,is used to fight
is used for eating,is used to eat
is used for sleeping,is used to sleep
is used for sewing,is used to sew
is used for toasting bread,is used to toast bread
is used for cooking toast,is used to cook toast
is used for cooking,is used to cook
are used for picking things up,are used to pick things up
are used for grabbing things,are used to grab things
is used for plowing,is used to plow
is used for farming,is used to farm
is used for tilling soil,is used to till soil
is used for transporting farm products,is used to transport farm products
is used for serving food,is used to serve food
is used for traveling,is used to travel
is used for spinning,is used to spin
is used for spinning,is used to spin
is used for carrying things,is used to carry things
is used for carrying soil,is used to carry soil
is used for signaling,is used to signal
is used for sailing,is used to sail
is used for smoking,is used to smoke
is used for playing music,is used to play music
is used for playing music,is used to play music
is used for transporting patients,is used to transport patients
is used for transporting injured patients,is used to transport injured patients
is used for holding boats,is used to hold boats
is used for cooking,is used to cook
is used for protecting clothes,is used to protect clothes
is used for holding things,is used to hold things
is used for smoking,is used to smoke
is used for cutting wood,is used to cut wood
is used for chopping trees,is used to chop trees
is used for cutting trees,is used to cut trees
is used for felling trees,is used to fell trees
is used for carrying things,is used to carry things
is used for carrying things,is used to carry things
is used for playing sports,is used to play sports
is used for playing games,is used to play games
is used for playing with,is used to play with
is used for throwing,is used to throw
is used for holding things,is used to hold things
is used for shipping,is used to ship
is used for shipping liquids,is used to ship liquids
is used for transporting things,is used to transport things
is used for carrying things,is used to carry things
