feature,changed_feature
is used for killing,is used to kill
is used for tightening screws,is used to tighten screws
is used for washing hands,is used to wash hands
is used for washing clothes,is used to wash clothes
is used for washing dishes,is used to wash dishes
is used for cooking,is used to cook
is used for flipping,is used to flip
is used for stirring,is used to stir
is used for lifting things,is used to lift things
is used for hunting,is used to hunt
is used for eating,is used to eat
is used for stirring,is used to stir
is used for mixing,is used to mix
is used for serving,is used to serve
is used for cooking,is used to cook
is used for hitting,is used to hit
is used for eating,is used to eat
is used for sewing,is used to sew
is used for grilling,is used to grill
is used for cooking,is used to cook
is used for making toast,is used to make toast
is used for warming,is used to warm
is used for toasting bread,is used to toast bread
is used for toasting sandwiches,is used to toast sandwiches
is used for toasting cheese,is used to toast cheese
is used for toasting meat,is used to toast meat
is used for carrying food,is used to carry food
is used for carrying goods,is used to carry goods
is used for racing,is used to race
is used for chopping,is used to chop
is used for carrying things,is used to carry things
is used for sleeping,is used to sleep
is used for cooking,is used to cook
is used for chopping,is used to chop
is used for blending,is used to blend
is used for making smoothies,is used to make smoothies
is used for smoking,is used to smoke
is used for drawing,is used to draw
is used for sitting,is used to sit
is used for eating,is used to eat
is used for flavoring,is used to flavor
is used for playing music,is used to play music
is used for farming,is used to farm
is used for serving,is used to serve
is used for cutting,is used to cut
is used for hacking,is used to hack
is used for wiping,is used to wipe
are used for gripping,are used to grip
is used for cooking,is used to cook
is used for climbing,is used to climb
is used for tying,is used to tie
is used for fighting,is used to fight
is used for digging,is used to dig
is used for draining,is used to drain
is used for walking,is used to walk
is used for eating meals,is used to eat meals
is used for sewing,is used to sew
are used for cooking,are used to cook
are used for grabbing,are used to grab
is used for carrying,is used to carry
is used for digging,is used to dig
is used for eating,is used to eat
is used for cooking,is used to cook
is used for storing things,is used to store things
is used for building,is used to build
is used for transporting people,is used to transport people
is used for sitting,is used to sit
is used for stabbing,is used to stab
is used for eating,is used to eat
is used for cooking,is used to cook
is used for flavoring food,is used to flavor food
is used for making sauce,is used to make sauce
is used for seasoning,is used to season
is used for putting in food,is used to put in food
is used for flavoring,is used to flavor
is used for eating,is used to eat
is used for cooking,is used to cook
is used for eating,is used to eat
is used for fattening,is used to fatten
is used for eating meat,is used to eat meat
is used for cooking eggs,is used to cook eggs
is used for hunting,is used to hunt
is used for playing music,is used to play music
is used for playing music,is used to play music
is used for planting,is used to plant
is used for digging,is used to dig
is used for weeding,is used to weed
is used for digging the earth,is used to dig the earth
is used for digging holes,is used to dig holes
is used for riding a bike,is used to ride a bike
is used for chopping wood,is used to chop wood
is used for chopping trees,is used to chop trees
is used for cutting wood,is used to cut wood
is used for cutting trees,is used to cut trees
is used for watering the garden,is used to water the garden
is used for traveling,is used to travel
is used for driving,is used to drive
is used for opening doors,is used to open doors
is used for locking things,is used to lock things
is used for turning things,is used to turn things
is used for cutting,is used to cut
is used for cooking,is used to cook
is used for cutting vegetables,is used to cut vegetables
is used for camping,is used to camp
is used for cooking,is used to cook
is used for flavoring food,is used to flavor food
is used for cooking,is used to cook
is used for reheating,is used to reheat
is used for viewing small objects,is used to view small objects
is used for looking at yourself,is used to look at yourself
is used for grooming,is used to groom
is used for shaving,is used to shave
is used for checking your face,is used to check your face
is used for making sure you look good,is used to make sure you look good
is used for clearing the forest,is used to clear the forest
is used for clearing the jungle,is used to clear the jungle
is used for cutting trees,is used to cut trees
is used for cutting plants,is used to cut plants
is used for racing,is used to race
is used for eating,is used to eat
is used for drinking hot beverages,is used to drink hot beverages
is used for making soup,is used to make soup
is used for cooking,is used to cook
is used for cooking,is used to cook
is used for baking food,is used to bake food
is used for cooking meat,is used to cook meat
is used for eating,is used to eat
is used for garnishing,is used to garnish
is used for flavoring,is used to flavor
is used for hanging clothes,is used to hang clothes
is used for hanging up pictures,is used to hang up pictures
is used for hanging up clothes on a line,is used to hang up clothes on a line
is used for hanging up curtains,is used to hang up curtains
is used for hanging up clothing in the bathroom,is used to hang up clothing in the bathroom
is used for writing,is used to write
is used for writing letters,is used to write letters
is used for writing words,is used to write words
is used for writing,is used to write
is used for drawing,is used to draw
is used for writing on paper,is used to write on paper
is used for racing,is used to race
is used for flying,is used to fly
is used for sleeping,is used to sleep
is used for resting the head,is used to rest the head
is used for cooking,is used to cook
is used for eating,is used to eat
is used for cooking,is used to cook
is used for teaching,is used to teach
is used for gardening,is used to garden
is used for shaving,is used to shave
is used for cutting hair,is used to cut hair
is used for shaving the face,is used to shave the face
is used for killing,is used to kill
is used for shooting,is used to shoot
is used for sleeping,is used to sleep
is used for building,is used to build
is used for tying,is used to tie
is used for climbing,is used to climb
is used for pulling,is used to pull
is used for traveling,is used to travel
is used for measuring,is used to measure
is used for finishing wood,is used to finish wood
is used for tightening screws,is used to tighten screws
is used for wrapping food,is used to wrap food
is used for wrapping gifts,is used to wrap gifts
is used for wrapping,is used to wrap
are used for cutting,are used to cut
are used for cutting paper,are used to cut paper
are used for cutting fabric,are used to cut fabric
are used for cutting thread,are used to cut thread
are used for cutting hair,are used to cut hair
is used for fighting,is used to fight
is used for fighting in battle,is used to fight in battle
is used for gardening,is used to garden
is used for washing the dishes,is used to wash the dishes
is used for washing the body,is used to wash the body
is used for stirring,is used to stir
is used for eating,is used to eat
is used for stirring,is used to stir
is used for serving,is used to serve
is used for stirring,is used to stir
is used for walking,is used to walk
is used for hunting,is used to hunt
is used for cooking,is used to cook
is used for washing vegetables,is used to wash vegetables
is used for filtering liquids,is used to filter liquids
is used for cleaning food,is used to clean food
is used for surfing,is used to surf
is used for eating,is used to eat
is used for eating,is used to eat
is used for fighting,is used to fight
is used for killing people,is used to kill people
is used for cutting,is used to cut
is used for camping,is used to camp
is used for sleeping,is used to sleep
is used for measuring temperature,is used to measure temperature
is used for taking the temperature,is used to take the temperature
is used for sewing,is used to sew
is used for making clothes,is used to make clothes
is used for serving food,is used to serve food
is used for serving drinks,is used to serve drinks
is used for serving drinks,is used to serve drinks
is used for serving food,is used to serve food
is used for carrying things,is used to carry things
are used for cooking,are used to cook
are used for turning,are used to turn
are used for holding,are used to hold
are used for grabbing,are used to grab
are used for holding fire,are used to hold fire
is used for traveling,is used to travel
is used for farming,is used to farm
is used for plowing,is used to plow
is used for pulling trailers,is used to pull trailers
is used for tilling the ground,is used to till the ground
is used for moving goods,is used to move goods
is used for carrying things,is used to carry things
is used for taking pictures,is used to take pictures
is used for writing,is used to write
is used for writing a letter,is used to write a letter
is used for transporting goods,is used to transport goods
is used for moving furniture,is used to move furniture
is used for carrying heavy goods,is used to carry heavy goods
is used for carrying,is used to carry
is used for carrying heavy things,is used to carry heavy things
is not used for carrying people,is not used to carry people
is used for driving animals,is used to drive animals
is used for calling for help,is used to call for help
is used for sailing,is used to sail
is used for racing,is used to race
is used for smoking,is used to smoke
is used for sewing,is used to sew
is used for sewing,is used to sew
is used for serving food,is used to serve food
is used for smoking,is used to smoke
is used for playing sports,is used to play sports
is used for sitting,is used to sit
is used for cleaning,is used to clean
is used for fastening,is used to fasten
is used for holding things together,is used to hold things together
is used for carrying goods,is used to carry goods
is used for carving,is used to carve
is used for sculpting,is used to sculpt
is used for buying things,is used to buy things
is used for grooming,is used to groom
is used for killing animals,is used to kill animals
is used for hunting,is used to hunt
is used for prying,is used to pry
is used for breaking things,is used to break things
is used for lifting,is used to lift
is used for opening things,is used to open things
is used for coloring,is used to color
is used for coloring,is used to color
is used for drawing,is used to draw
is used for sitting,is used to sit
is used for sleeping,is used to sleep
is used for stabbing,is used to stab
is used for washing dishes,is used to wash dishes
is used for cleaning dishes,is used to clean dishes
is used for washing dishes,is used to wash dishes
is used for writing,is used to write
is used for writing,is used to write
is used for playing,is used to play
is used for drilling holes in walls,is used to drill holes in walls
is used for drilling holes in wood,is used to drill holes in wood
is used for making holes in the ground,is used to make holes in the ground
is used for making holes,is used to make holes
is used for storing clothes,is used to store clothes
is used for eating,is used to eat
is used for eating meat,is used to eat meat
is used for eating fish,is used to eat fish
is used for eating fruit,is used to eat fruit
is used for eating vegetables,is used to eat vegetables
is used for hammering,is used to hammer
is used for farming,is used to farm
is used for tilling the land,is used to till the land
is used for cooking,is used to cook
is used for cutting,is used to cut
is used for eating,is used to eat
is used for cooking,is used to cook
is used for eating soup,is used to eat soup
is used for serving food,is used to serve food
is used for cutting,is used to cut
is used for gardening,is used to garden
is used for killing animals,is used to kill animals
is used for studying small objects,is used to study small objects
is used for cooking food,is used to cook food
is used for cooking,is used to cook
is used for drinking,is used to drink
is used for eating,is used to eat
is used for cooking,is used to cook
is used for writing,is used to write
is used for sleeping,is used to sleep
is used for resting the head,is used to rest the head
is used for calling,is used to call
is used for gardening,is used to garden
is used for shooting bullets,is used to shoot bullets
is used for killing people,is used to kill people
is used for killing animals,is used to kill animals
is used for hunting,is used to hunt
is used for killing people,is used to kill people
is used for shooting,is used to shoot
is used for climbing,is used to climb
is used for reinforcing things,is used to reinforce things
is used for fixing things,is used to fix things
is used for loosening,is used to loosen
is used for tightening,is used to tighten
is used for digging,is used to dig
is used for washing hands,is used to wash hands
is used for cooking,is used to cook
is used for stirring,is used to stir
is used for scraping,is used to scrape
is used for spreading,is used to spread
is used for eating,is used to eat
is used for straining,is used to strain
is used for washing vegetables,is used to wash vegetables
is used for washing clothes,is used to wash clothes
is used for camping,is used to camp
is used for measuring temperature,is used to measure temperature
is used for grabbing hot things,is used to grab hot things
is used for grabbing things,is used to grab things
is used for holding things,is used to hold things
is used for grabbing things,is used to grab things
is used for holding things,is used to hold things
is used for plowing fields,is used to plow fields
is used for calling,is used to call
is used for carrying,is used to carry
is used for holding,is used to hold
is used for carrying things,is used to carry things
is used for eating,is used to eat
is used for eating food,is used to eat food
is used for putting food on,is used to put food on
is used for moving people from one place to another,is used to move people from one place to another
is used for eating,is used to eat
is used for hunting,is used to hunt
is used for killing,is used to kill
is used for chopping wood,is used to chop wood
is used for making tea,is used to make tea
is used for cutting,is used to cut
is used for cutting,is used to cut
is used for gardening,is used to garden
is used for writing,is used to write
is used for teaching,is used to teach
is used for drawing lines,is used to draw lines
is used for climbing,is used to climb
is used for tying things,is used to tie things
are used for cutting paper,are used to cut paper
are used for cutting hair,are used to cut hair
is used for keeping warm,is used to keep warm
is used for washing dishes,is used to wash dishes
is used for washing hands,is used to wash hands
is used for eating,is used to eat
is used for stirring,is used to stir
is used for cooking,is used to cook
is used for cooking,is used to cook
is used for straining,is used to strain
is used for fighting,is used to fight
is used for camping,is used to camp
is used for sewing,is used to sew
is used for sewing,is used to sew
is used for cooking,is used to cook
is used for writing letters,is used to write letters
is used for racing,is used to race
is used for sitting on the floor,is used to sit on the floor
is used for sitting on the floor,is used to sit on the floor
is used for sleeping,is used to sleep
is used for resting,is used to rest
is used for sweeping up,is used to sweep up
is used for cleaning floors,is used to clean floors
is used for killing,is used to kill
is used for hunting,is used to hunt
is used for pulling,is used to pull
is used for drinking,is used to drink
is used for drawing,is used to draw
is used for prying things open,is used to pry things open
is used for levering,is used to lever
is used for breaking things,is used to break things
is used for prising things apart,is used to prise things apart
is used for levering things,is used to lever things
is used for drinking,is used to drink
is used for fighting,is used to fight
is used for stabbing,is used to stab
is used for playing,is used to play
is used for kicking,is used to kick
is used for eating,is used to eat
is used for cutting food,is used to cut food
is used for scooping food,is used to scoop food
is used for turning food,is used to turn food
is used for killing,is used to kill
is used for building,is used to build
is used for gardening,is used to garden
is used for digging,is used to dig
is used for cutting,is used to cut
is used for weeding,is used to weed
is used for cutting flowers,is used to cut flowers
is used for cutting grass,is used to cut grass
is used for eating,is used to eat
is used for serving,is used to serve
is used for cutting,is used to cut
is used for clearing,is used to clear
is used for cutting,is used to cut
is used for cutting grass,is used to cut grass
is used for cooking,is used to cook
is used for warming,is used to warm
is used for defrosting,is used to defrost
is used for reheating,is used to reheat
is used for racing,is used to race
is used for racing,is used to race
is used for drinking,is used to drink
is used for cooking,is used to cook
is used for hanging clothes on,is used to hang clothes on
is used for writing,is used to write
is used for writing,is used to write
is used for sleeping,is used to sleep
are used for cutting,are used to cut
is used for unscrewing screws,is used to unscrew screws
is used for planting,is used to plant
is used for gardening,is used to garden
is used for dancing,is used to dance
is used for hunting,is used to hunt
is used for cooking,is used to cook
is used for straining,is used to strain
is used for walking,is used to walk
is used for fighting,is used to fight
is used for cutting,is used to cut
is used for eating,is used to eat
is used for writing,is used to write
is used for working,is used to work
is used for eating,is used to eat
is used for plowing,is used to plow
is used for pulling,is used to pull
is used for carrying,is used to carry
is used for serving,is used to serve
is used for going to school,is used to go to school
is used for transporting goods,is used to transport goods
is used for transporting people,is used to transport people
is used for casting spells,is used to cast spells
is used for carrying,is used to carry
is used for sewing,is used to sew
is used for gardening,is used to garden
is used for gardening,is used to garden
is used for drawing lines,is used to draw lines
is used for drawing,is used to draw
is used for digging,is used to dig
is used for gardening,is used to garden
is used for moving earth,is used to move earth
is used for building,is used to build
is used for cleaning,is used to clean
is used for eating,is used to eat
is used for cooking,is used to cook
is used for surfing,is used to surf
is used for eating,is used to eat
is used for camping,is used to camp
is used for sewing,is used to sew
is used for farming,is used to farm
is used for plowing,is used to plow
is used for serving food,is used to serve food
is used for transporting goods,is used to transport goods
is used for typing,is used to type
is used for transporting goods,is used to transport goods
is used for transporting goods,is used to transport goods
is used for signaling,is used to signal
is used for grooming,is used to groom
is used for smoking,is used to smoke
is used for smoking tobacco,is used to smoke tobacco
is used for sitting on,is used to sit on
is used for eating,is used to eat
is used for holding fabric together,is used to hold fabric together
is used for sleeping,is used to sleep
is used for resting,is used to rest
is used for cooking,is used to cook
is used for sitting,is used to sit
is used for resting,is used to rest
is used for serving food,is used to serve food
is used for serving eating,is used to serve eating
is used for shooting people,is used to shoot people
is used for transporting goods,is used to transport goods
is used for sitting,is used to sit
is used for cutting,is used to cut
is used for smoking,is used to smoke
is used for drawing,is used to draw
is used for bottling wine,is used to bottle wine
is used for prying,is used to pry
is used for levering,is used to lever
is used for drinking,is used to drink
is used for writing,is used to write
is used for riding,is used to ride
is used for carrying loads,is used to carry loads
is used for storing clothes,is used to store clothes
is used for drilling,is used to drill
is used for flavoring food,is used to flavor food
is used for seasoning,is used to season
is used for posting,is used to post
is used for sending letters,is used to send letters
is used for eating,is used to eat
is used for cutting,is used to cut
is used for chopping wood,is used to chop wood
is used for cutting trees,is used to cut trees
is used for fighting fires,is used to fight fires
is used for cooking,is used to cook
is used for cutting,is used to cut
is used for eating soup,is used to eat soup
is used for cooking,is used to cook
is used for flavoring food,is used to flavor food
is used for cooking,is used to cook
is used for drinking,is used to drink
is used for cooking,is used to cook
is used for baking,is used to bake
is used for writing,is used to write
is used for sleeping,is used to sleep
is used for riding,is used to ride
is used for racing,is used to race
is used for carving,is used to carve
is used for shaving,is used to shave
is used for killing,is used to kill
is used for hunting,is used to hunt
is used for climbing,is used to climb
is used for pulling,is used to pull
is used for building,is used to build
is used for sanding,is used to sand
is used for cutting,is used to cut
is used for cutting paper,is used to cut paper
is used for digging,is used to dig
is used for planting,is used to plant
is used for cleaning,is used to clean
is used for washing dishes,is used to wash dishes
is used for washing clothes,is used to wash clothes
is used for fighting,is used to fight
is used for eating,is used to eat
is used for stirring,is used to stir
is used for stirring food,is used to stir food
is used for serving food,is used to serve food
is worn for swimming,is worn to swim
is used for eating,is used to eat
is used for writing,is used to write
is used for cooking,is used to cook
is used for flushing excrement,is used to flush excrement
is used for cooking,is used to cook
is used for serving food,is used to serve food
is used for carrying food,is used to carry food
is used for carrying objects,is used to carry objects
is used for transporting goods,is used to transport goods
is used for moving things,is used to move things
is used for smoking,is used to smoke
is used for smoking tobacco,is used to smoke tobacco
is used for eating,is used to eat
is used for serving food,is used to serve food
is used for transporting people,is used to transport people
is used for cooking,is used to cook
is used for smoking,is used to smoke
