index,concept_id,feature,name,source
0,timer,has different colors,gpt_3_filtered,gpt
1,toe,has nails,gpt_3_unfiltered,gpt
2,alligator,is dangerous,mcrae,human
3,butterfly,is beautiful,mcrae,human
4,hatchet,is used by lumberjacks,gpt_3_filtered_overlap,gpt
5,mouth,has a floor,gpt_3_unfiltered,gpt
6,sword,is used by men,gpt_3_filtered_overlap,gpt
7,motorcycle,has a seatbelt,gpt_3_filtered_overlap,gpt
8,bowl,is used to mix,gpt_3_filtered_overlap,gpt
9,vacuum,is electrical,gpt_3_unfiltered,gpt
10,spoon,does contain,cslb,human
11,manhole,is used for access,gpt_3_unfiltered,gpt
12,wrench,used for tightening,mcrae,human
13,waterwheel,is used to make electricity,gpt_3_unfiltered,gpt
14,celery,is a vegetable,gpt_3_unfiltered,gpt
15,koala,is nocturnal,gpt_3_filtered,gpt
16,mink,is brown,mcrae,human
17,hare,a rabbit,mcrae,human
18,frog,eats insects,mcrae,human
19,rollerskate,has a boot,cslb,human
20,drapes,used for privacy,mcrae,human
21,flute,has a hole in the middle,gpt_3_filtered,gpt
22,truck,is used to carry goods,gpt_3_filtered,gpt
23,parakeet,a pet,mcrae,human
24,cork,is brown,mcrae,human
25,hamburger,contains lettuce,gpt_3_filtered,gpt
26,rifle,is an object,gpt_3_filtered,gpt
27,robe,is worn in cold weather,gpt_3_filtered_overlap,gpt
28,ball,is used to play with children,gpt_3_filtered,gpt
29,outlet,is used to cook,gpt_3_filtered,gpt
30,bolts,is like a nail,cslb,human
31,pyramid,is a tomb for a pharaoh,cslb,human
32,swimsuit,is made of silk,gpt_3_filtered_overlap,gpt
33,hamburger,is cooked in an oven,gpt_3_filtered,gpt
34,cucumber,is edible,mcrae,human
35,possum,is gray in color,gpt_3_filtered,gpt
36,jeep,has a radio,gpt_3_filtered_overlap,gpt
37,pallet,is used to store things,gpt_3_unfiltered,gpt
38,detonator,is round,gpt_3_filtered,gpt
39,tongs,is used by women,gpt_3_filtered_overlap,gpt
