index,concept_id,feature
0,timer,has different colors
1,toe,has nails
2,alligator,is dangerous
3,butterfly,is beautiful
4,hatchet,is used by lumberjacks
5,mouth,has a floor
6,sword,is used by men
7,motorcycle,has a seatbelt
8,bowl,is used to mix
9,vacuum,is electrical
10,spoon,does contain
11,manhole,is used for access
12,wrench,used for tightening
13,waterwheel,is used to make electricity
14,celery,is a vegetable
15,koala,is nocturnal
16,mink,is brown
17,hare,a rabbit
18,frog,eats insects
19,rollerskate,has a boot
20,drapes,used for privacy
21,flute,has a hole in the middle
22,truck,is used to carry goods
23,parakeet,a pet
24,cork,is brown
25,hamburger,contains lettuce
26,rifle,is an object
27,robe,is worn in cold weather
28,ball,is used to play with children
29,outlet,is used to cook
30,bolts,is like a nail
31,pyramid,is a tomb for a pharaoh
32,swimsuit,is made of silk
33,hamburger,is cooked in an oven
34,cucumber,is edible
35,possum,is gray in color
36,jeep,has a radio
37,pallet,is used to store things
38,detonator,is round
39,tongs,is used by women
40,penguin,cannot fly
41,coach_(vehicle),has six wheels
42,leotards,worn for exercising
43,flute,has holes
44,microscope,has a tube
45,shoes,has toes
46,whistle,has a hole
47,fawn,has a tail
48,parakeet,is loud
49,oak,used as home by animals
50,python,an animal
51,water_filter,is used for water
52,hornet,is an animal
53,ambulance,is used by sick people
54,crowbar,is found in toolboxes
55,brush,used on hair
56,cork,is used in the bath
57,coral,is a mineral
58,cabbage,is green
59,squirrel,is small
60,apple,is smooth
61,rattlesnake,is dangerous
62,guitar,used in bands
63,bucket,is used for water
64,cow,is large
65,mulch,is used to protect plants
66,lantern,used for camping
67,clipper2,is an electrical appliance
68,collar,is made of fabric
69,boat,holds many people
70,goat,does live on mountains
71,eel,has a long snout
72,sugar_cube,is made of crystallized sugar
73,garlic,is used as a seasoning
74,sultana,is used in puddings
75,pine_needle,is part of a tree
76,swimsuit,worn at beaches
77,pigeon,has wings
78,cat,has sharp teeth
79,mushroom,is tasty
80,wig,is used for hair
81,eagle,is used in the army
82,banjo,is yellow
83,can,is used for drinks
84,star_fruit,is crunchy
85,parking_meter,is used to pay fines
86,broccoli,tastes good
87,cat,has claws
88,gel,is used to clean dishes
89,star_fruit,has pulp
90,thermos,is made of glass
91,dryer,dries your clothes
92,basket,is used to carry things
93,rhubarb,is used for jam
94,knife,is sharp
95,tuxedo,has buttons on its jacket
96,buckle,found on belts
97,badge,is used for identification
98,shark,is found in the water
99,skirt,has pleats
100,hippo,has legs
101,cactus,has seeds
102,pepper_mill,is black
103,goat,produces milk
104,scorpion,is black
105,forklift,is used for work
106,apple_tree,has apples
107,ostrich,has legs
108,hummingbird,has wings
109,shoes,has laces
110,banner,used for advertising
111,duck,is used by hunters
112,pelican,has a wingspan
113,playing_card,is a tool
114,skateboard,does come in colours
115,ladder,has a bottom
116,centrifuge,is cylindrical
117,robin,has feathers
118,curling_iron,is found in bathrooms
119,monkey,does share
120,cheetah,lives in Africa
121,glasses,is used to drink water
122,foot,does smell
123,cottage,used for living in
124,mouse1,has a name
125,chair,is used for meetings
126,bee,lives in colonies
127,ambulance,drives on roads
128,pretzel,is covered with salt
129,burrito,is eaten with tortillas
130,tulip,is bulb
131,grain,is used to bake bread
132,necklace,is worn for special occasions
133,crowbar,used for breaking things
134,videogame,has a main character
135,olive,a vegetable
136,rice,is tasty
137,cake,is made of sugar
138,tangerine,has sections
139,brick,is a mineral
140,pony,has a long mane
141,spider,has eyes
142,window,is rectangular in shape
143,doll,used by girls
144,brick,has a texture
145,car,is useful
146,car,has windscreen wipers
147,ant,is strong
148,slot,is made of metal
149,stool_(furniture),made of wood
150,mug,is circular
151,car,has a roof
152,cherry,is used for dessert
153,limousine,has an inside
154,mayonnaise,made of butter
155,skunk,is a rodent
156,turnip,a vegetable
157,duck,is meat
158,wineglass,is used to drink white wine
159,camel,has fur
160,penguin,does live in Antarctica
161,mink,used for fur
162,couch,has a back rest
163,leech,lives in ponds
164,puddle,is deep
165,squirrel,climbs trees
166,broccoli,is nutritious
167,freezer,is an appliance
168,shawl,is for women
169,quesadilla,is a food
170,squid,is aquatic
171,nightingale,is noisy
172,zebra,is found on farms
173,rifle,has a trigger
174,cheetah,is a runner
175,football,is not touched with your hands
176,anchor,is used in ships
177,guitar,is an instrument
178,doorstop,is shaped like a triangle
179,bee,is striped
180,lawnmower,is electric
181,flask,is used to store things
182,vulture,flies
183,donkey,makes noises
184,chair,used with tables
185,radish,has a white center
186,ketchup,is made of tomatoes
187,crown,is used by royalty
188,biscuit,contains milk
189,ox,has long fur
190,shoes,is worn
191,swimsuit,is used to tan
192,lightbulb,has a cord
193,test_tube,has a wide mouth
194,fir,is alive
195,boot,is used to keep warm
196,rocket,has a shape
197,coconut,has a hard shell
198,seahorse,swims fast
199,trolley,is used to carry luggage
200,ship,is used for passengers
201,budgie,has wings
202,quill,is used to write by hand
203,lanyard,is a string
204,grape,is red
205,can_opener,is found in kitchens
206,rake,has a long handle
207,horse,is beautiful
208,stick,is a piece of wood
209,jackhammer,is used to pound nails
210,boa,is worn for decoration
211,rake,has a long handle
212,lettuce,is crunchy
213,horse,is beautiful
214,iguana,is a reptile
215,telephone,does receive calls
216,olive,is round in shape
217,thermos,is used in the army
218,pudding,has a smooth texture
219,sandwich,has a crust
220,car,has doors
221,fern,is ancient
222,basket,is used to wash clothes
223,badge,is used in guides
224,blender,is used to make soup
225,frame,is on the wall
226,robe,has a hood
227,turkey,a bird
228,chain,is worn by prisoners
229,swing,is an outdoor toy
230,candle,is found in homes
231,razor,is used on the face
232,herring,is oily
233,cheese,is white
234,bathtub,found in bathrooms
235,ostrich,has two legs
236,barrel,is found in cellars
237,bank,has a lock
238,pin,is small
239,guitar,has a long neck
240,scallion,is green
241,honey,is used for medical purposes
242,octopus,is slimy
243,antenna,is used for internet
244,whip,used on animals
245,ant,does nest
246,octopus,is a sea creature
247,wine,is for special occasions
248,torpedo,is guided
249,cheetah,is hunted by lions
250,jar,is used to contain liquids
251,beets,has leaves
252,target,is used in games
253,pistol,used for shooting
254,trout,does swim
255,tiramisu,has cream on top
256,squid,is an aquatic animal
257,grater,is thin
258,snail,is small
259,chandelier,found in dining rooms
260,ostrich,has a beak
261,dish,used for eating
262,hutch,made of metal
263,poodle,is short
264,cigarette_butt,has no odor
265,reindeer,runs fast
266,boxing_gloves,has a thumb hole
267,bear,lives in the wild
268,tray,has a flat bottom
269,ice_cream,has a cone
270,doorstop,is used to hold doors open
271,carnation,has roots
272,crocodile,is an animal
273,broccoli,tastes bad
274,jacket,is used to keep warm
275,harp,is made of wood
276,bra,worn for supporting breasts
277,whistle,used for alerting
278,guacamole,is made from tomatoes
279,kite,is used for children
280,pin,is small
281,goat,has fur
282,fir,does grow
283,stew,has noodles
284,trapdoor,is made of different materials
285,bamboo,is used to make houses
286,bracelet2,made of silver
287,weather_vane,has a ball at the end
288,soup,is warm
289,gopher,an animal
290,canoe,used by 2 people
291,cereal,is found in a box
292,power_line,makes sparks
293,donkey,produces milk
294,chandelier,made of crystal
295,hard_disk,has a storage capacity of one tb
296,guacamole,contains pepper
297,toilet,is white
298,toothpick,is hard
299,boat,is a ship
300,pistol,made of metal
301,cape,made of cloth
302,cap_(hat),worn by men
303,deer,lives in wilderness
304,sparrow,an animal
