feature,changed_feature
it is used for eating,is used for eating
it is used for sitting,is used for sitting
it has legs,has legs
it has a top,has a top
it has a flat surface,has a flat surface
it is used for studying,is used for studying
it has a surface,has a surface
it has a flat top,has a flat top
it is made of wood,is made of wood
it is yellow,is yellow
it is large,is large
it is used for transportation,is used for transportation
it has seats,has seats
it has wheels,has wheels
it has a roof,has a roof
it is open,is open
it has a door on the side,has a door on the side
it has a door on the front,has a door on the front
it has a door on the back,has a door on the back
it has seats for passengers,has seats for passengers
it is a shelter,is a shelter
it is used for camping,is used for camping
it has a floor,has a floor
it has a door,has a door
it has a roof,has a roof
it has walls,has walls
it is made of canvas,is made of canvas
it is used for sleeping,is used for sleeping
it is used for storage,is used for storage
it has a zipper,has a zipper
it is used for protection from the weather,is used for protection from the weather
it is used to measure temperature,is used to measure temperature
it has mercury,has mercury
it has a scale,has a scale
it is used to take body temperature,is used to take body temperature
it is used in the mouth,is used in the mouth
it has a red line,has a red line
it is used to check temperature,is used to check temperature
it has a bulb,has a bulb
it is used for medical purposes,is used for medical purposes
it is made of glass,is made of glass
it has a numerical scale,has a numerical scale
it is small,is small
it is round,is round
it has a lid,has a lid
it is made of metal,is made of metal
it is a cat,is a cat
it is a large cat,is a large cat
it is large,is large
it is a carnivore,is a carnivore
it has stripes,has stripes
it is dangerous,is dangerous
it has claws,has claws
it has sharp teeth,has sharp teeth
it lives in the jungle,lives in the jungle
it has a tail,has a tail
it is a mammal,is a mammal
it eats meat,eats meat
it has fur,has fur
it kills animals for food,kills animals for food
it has a warty back,has a warty back
it is green,is green
it is small,is small
it has a long tongue,has a long tongue
it eats insects,eats insects
it lives in the grass,lives in the grass
it has a long tongue,has a long tongue
it is an amphibian,is an amphibian
it is used for experiments,is used for experiments
it is poisonous,is poisonous
it has a long tongue,has a long tongue
it is slimy,is slimy
it eats flies,eats flies
it is used for cooking,is used for cooking
it has a cord,has a cord
it has a plug,has a plug
it has a handle,has a handle
it is a kitchen appliance,is a kitchen appliance
it has a timer,has a timer
it is used for heating food,is used for heating food
it is used for cooking food,is used for cooking food
it has buttons,has buttons
it has a lever,has a lever
it is used for toast,is used for toast
it flushes,flushes
it has a handle,has a handle
it has a tank,has a tank
it is used to flush,is used to flush
