feature,changed_feature
is a type of sport,is a sport
is a type of nail,is a nail
is a type of wood,is a wood
is a type of gun,is a gun
is a type of boat,is a boat
is a type of berry,is a berry
is a type of tobacco,is a tobacco
is a type of algae,is algae
is a type of garment,is a garment
is a type of guitar,is a guitar
is a kind of squash,is a squash
is a type of garment,is a garment
is a type of instrument,is an instrument
is a type of food,is a food
is a type of sheep,is sheep
is a type of tree,is a tree
is a type of bicycle,is a bicycle
are a type of trousers,are trousers
is a type of food,is a food
is a type of clothing,is a clothing
is a type of bird,is a bird
are a type of pants,are pants
