feature,changed_feature
is loud when played,is loud
makes noise when clicked,makes noise
makes a sound when blown,makes a sound
makes noise when hit,makes noise
is used for resting your head on when you sleep,is used for resting your head on
burns when you put fire to it,burns
is used when it rains,is used
is used to hold things in place when they are floating on water,is used to hold things in place
makes a sound when played,makes a sound
makes a noise when shaken,makes a noise
rattles when shaken,rattles
produces noise when played,produces noise
produces a loud noise when blown,produces a loud noise
explodes when you light a fuse,explodes
explodes when activated,explodes
produces sound when played,produces sound
makes a sound when blown into,makes a sound
