feature,changed_feature
it is a large cat,it is a cat
it is a large cat,it is large
it is a large cat,it is a large cat
it is a large cat,it is a cat
it is a large cat,it is large
it is a large cat,it is a large cat
it is an oblate fruit,it is a fruit
it is an oblate fruit,it is oblate
it is an oblate fruit,it is an oblate fruit
it is an oblate fruit,it is a fruit
it is an oblate fruit,it is oblate
it is an oblate fruit,it is an oblate fruit
it is a green vegetable,it is a vegetable
it is a green vegetable,it is green
it is a green vegetable,it is a green vegetable
it is a green vegetable,it is a vegetable
it is a green vegetable,it is green
it is a green vegetable,it is a green vegetable
it is a musical instrument,it is an instrument
it is a musical instrument,it is musical
it is a musical instrument,it is a musical instrument
it is a musical instrument,it is an instrument
it is a musical instrument,it is musical
it is a musical instrument,it is a musical instrument
it is an edible seed,it is a seed
it is an edible seed,it is edible
it is an edible seed,it is an edible seed
it is an edible seed,it is a seed
it is an edible seed,it is edible
it is an edible seed,it is an edible seed
it is a light source,it is a source
it is a light source,it is light
it is a light source,it is a light source
it is a light source,it is a source
it is a light source,it is light
it is a light source,it is a light source
it is a musical instrument,it is an instrument
it is a musical instrument,it is musical
it is a musical instrument,it is a musical instrument
it is a musical instrument,it is an instrument
it is a musical instrument,it is musical
it is a musical instrument,it is a musical instrument
it is a big cat,it is a cat
it is a big cat,it is big
it is a big cat,it is a big cat
it is a big cat,it is a cat
it is a big cat,it is big
it is a big cat,it is a big cat
it is a musical instrument,it is an instrument
it is a musical instrument,it is musical
it is a musical instrument,it is a musical instrument
it is a musical instrument,it is an instrument
it is a musical instrument,it is musical
it is a musical instrument,it is a musical instrument
it is a musical instrument,it is an instrument
it is a musical instrument,it is musical
it is a musical instrument,it is a musical instrument
it is a musical instrument,it is an instrument
it is a musical instrument,it is musical
it is a musical instrument,it is a musical instrument
it is a musical instrument,it is an instrument
it is a musical instrument,it is musical
it is a musical instrument,it is a musical instrument
it is a musical instrument,it is an instrument
it is a musical instrument,it is musical
it is a musical instrument,it is a musical instrument
it is a musical instrument,it is an instrument
it is a musical instrument,it is musical
it is a musical instrument,it is a musical instrument
it is a musical instrument,it is an instrument
it is a musical instrument,it is musical
it is a musical instrument,it is a musical instrument
it is a protective headgear,it is a headgear
it is a protective headgear,it is protective
it is a protective headgear,it is a protective headgear
