feature,changed_feature
can be used by the police,is used by the police
can be concealed,is concealed
can be used to climb,is used to climb
can be used on the road,is used on the road
can surface,surfaces
can dive,doves
can be used to move things,is used to move things
can carry passengers,carries passengers
can be carried,is carried
can carry a lot of weight,carries a lot of weight
can carry heavy things,carries heavy things
can carry many things,carries many things
can be used for exercise,is used for exercise
can climb,climbs
can bite,bites
can fly,flies
can be opened,is opened
can kill,kills
can be fired from a gun,is fired from a gun
can be fired from a rifle,is fired from a rifle
can kill people,kills people
can be eaten,is eaten
can be used to drink from,is used to drink from
can be used to store liquids,is used to store liquids
can be used as a weapon,is used as a weapon
can be used for war,is used for war
can be used for rescue,is used for rescue
can be dangerous,is dangerous
can be used as a weapon,is used as a weapon
can cut,cuts
can cut,cuts
can cut through wood,cuts through wood
can fly,flies
can hover,hovers
can cook,cooks
can fly,flies
can be ridden,is ridden
can play music,plays music
can be changed,is changed
can hop,hops
can eat carrots,eats carrots
can breed,breeds
can strike,strikes
can bite,bites
can be loaded,is loaded
can be bought at the hardware store,is bought at the hardware store
can swim,swims
can be tightened,is tightened
can be undone,is undone
can hold liquid,holds liquid
can break things,breaks things
can be used for stabbing,is used for stabbing
can run fast,runs fast
can fly,flies
can hover,hovers
can fly in the sky,flies in the sky
can travel long distances,travels long distances
can be rolled up,is rolled up
can be adjusted,is adjusted
can run fast,runs fast
can be used to pry things,is used to pry things
can be knotted,is knotted
can travel under water,travels under water
can travel for long distances,travels for long distances
can be used for cutting,is used for cutting
can be inserted into the mouth,is inserted into the mouth
can make things disappear,makes things disappear
can be eaten with coffee,is eaten with coffee
can be eaten with tea,is eaten with tea
can be dunked in a cup of tea,is dunked in a cup of tea
can make ice cubes,makes ice cubes
can hold liquid,holds liquid
can kill,kills
can pierce,pierces
can run up to 100 km / h,runs up to 100 km / h
can buy things with coins,buys things with coins
can buy things in shops with coins,buys things in shops with coins
can be used as a weapon,is used as a weapon
can kill,kills
can break things,breaks things
can be eaten,is eaten
can dig,digs
can swim,swims
can be worn on a finger,is worn on a finger
can be worn on the finger of the left hand,is worn on the finger of the left hand
can be worn on the right hand,is worn on the right hand
can be short,is short
can be long,is long
can be used for protection,is used for protection
can be eaten raw,is eaten raw
can dive,doves
can be used to transport things,is used to transport things
can be used to travel,is used to travel
can carry many people,carries many people
can be worn by a king,is worn by a king
can cut,cuts
can go underwater,goes underwater
can be used to defecate,is used to defecate
can be grey,is grey
can be big,is big
can be used for racing,is used for racing
can be carried,is carried
can store water in its hump,stores water in its hump
can go without water for a long time,goes without water for a long time
can go without food for a long time,goes without food for a long time
can be peeled,is peeled
can jump,jumps
can climb trees,climbs trees
can be found in africa,is found in africa
can be found in zoos,is found in zoos
can be used to look at tiny objects,is used to look at tiny objects
can be cooked,is cooked
can fly,flies
can fly,flies
can be carried around,is carried around
can be worn over trousers,is worn over trousers
can swim,swims
can be ridden,is ridden
can stay underwater for long periods of time,stays underwater for long periods of time
can go under water,goes under water
can dive,doves
can be worn in water,is worn in water
can be worn in cold weather,is worn in cold weather
can carry one person,carries one person
can play low notes,plays low notes
can be used wet or dry,is used wet or dry
can be driven fast,is driven fast
can be eaten raw,is eaten raw
can be carried on the shoulder,is carried on the shoulder
can be broken into pieces,is broken into pieces
can kill,kills
can travel long distances without water,travels long distances without water
can go without water for a long time,goes without water for a long time
can carry goods,carries goods
can be eaten raw,is eaten raw
can be eaten raw,is eaten raw
can be expensive,is expensive
can move backwards,moves backwards
can swim,swims
can make sounds,makes sounds
can dive,doves
can be turned from the outside,is turned from the outside
can be turned from the inside,is turned from the inside
can be used as a table,is used as a table
can jump,jumps
can be eaten as a snack,is eaten as a snack
can kill,kills
can be used to hunt,is used to hunt
can fly,flies
can hover,hovers
can be used as a weapon,is used as a weapon
can be turned on and off,is turned on and off
can be dangerous,is dangerous
can run fast,runs fast
can be used as a weapon,is used as a weapon
can be polished,is polished
can be poisonous,is poisonous
can run fast,runs fast
can be used for baking,is used for baking
can fly,flies
can be tuned,is tuned
can be given as a present,is given as a present
can be used for building,is used for building
can be made of different materials,is made of different materials
can carry many people,carries many people
can be seen at night,is seen at night
can hurt people,keeps people
can be bought,is bought
can live on land,lives on land
can be used on long hair,is used on long hair
can fly,flies
can bite,bites
can sting,stings
can infest food,infests food
can be washed,is washed
can be eaten raw,is eaten raw
can be used for a dog,is used for a dog
can run fast,runs fast
can be used for planting,is used for planting
can be eaten,is eaten
can be sharpened,is sharpened
can be moved around,is moved around
can kill,kills
can be moved,is moved
can be eaten,is eaten
can kill someone,kills someone
can be fired from the mouth,is fired from the mouth
can be used as currency,is used as currency
can be hollow,is hollow
can be sharpened,is sharpened
can be hunted,is hunted
can be programmed,is programmed
can swim,swims
can fly,flies
can be remote controlled,is remote controlled
can carry people,carries people
can change colour,changes colour
can be thrown,is thrown
can be used to make a camp fire,is used to make a camp fire
can submerge,submeghts
can dive,doves
can be dangerous,is dangerous
can be dangerous,is dangerous
can be recycled,is recycled
can be used for eating,is used for eating
can be used for cooking,is used for cooking
can hold water,holds water
can hang from the ceiling,hangs from the ceiling
can be used to decorate,is used to decorate
can roar,roars
can bite,bites
can hunt,hunts
can be recycled,is recycled
can be used as a float,is used as a float
can be bought in shops,is bought in shops
can jump,jumps
can swim,swims
can be used to grate cheese,is used to grate cheese
can hover,hovers
can fly high,flies high
can be used for hot and cold drinks,is used for hot and cold drinks
can run fast,runs fast
can fly high,flies high
can fly,flies
can see at night,sees at night
can run fast,runs fast
can be eaten,is eaten
can be thrown,is thrown
can be kicked,is kicked
can be tied,is tied
can be used for fishing,is used for fishing
can be bought,is bought
can be tasted,is tasted
can be eaten,is eaten
can be stacked,is stacked
can be used for racing,is used for racing
can be expensive,is expensive
can purr,purrs
can be used as a weapon,is used as a weapon
can be moved,is moved
can be eaten raw,is eaten raw
can be cuddled,is cuddled
can be eaten,is eaten
can fly,flies
can land vertically,lands vertically
can be used for drink,is used for drink
can be used for food,is used for food
can leap,leaps
can fly,flies
can make sounds,makes sounds
can be used for movies,is used for movies
can be ridden by adults,is ridden by adults
can shoot its quills,shoots its quills
can be eaten,is eaten
can swim,swims
can dive to great depths,doves to great depths
can kill,kills
can fly,flies
can be used as a table,is used as a table
can be loud,is loud
can be pushed or pulled,is pushed or pulled
can walk,walks
can be filled with air,is filled with air
can swim,swims
can carry loads,carries loads
can kill,kills
can be used for hunting,is used for hunting
can be used for sitting,is used for sitting
can be used as a lever,is used as a lever
can run fast,runs fast
can be powered by a battery,is powered by a battery
can carry heavy loads,carries heavy loads
can eat grass,eats grass
can fly,flies
can pull a cart,pulls a cart
can be used to store things,is used to store things
can make sounds,makes sounds
can be portable,is portable
