index,concept_id,feature
0,guitar,is played for entertainment
1,touchpad,is a computer part
2,airplane,used for passengers
3,panther,has claws
4,radio,used for playing different stations
5,bra,made of cotton
6,robe,does cover nightclothes
7,rattlesnake,eats rodents
8,generator,has a switch
9,raisin,is eaten in desserts
10,turkey,is a mammal
11,tomato,is grown in farms
12,spear,is sharp
13,snowman,lives in winter
14,hatchet,is an axe
15,basketball,is played in an indoor court
16,mitten,is worn on the hand
17,eel,has flesh
18,cherry,is a fruit
19,swan,is found in europe
20,cow,is white
21,garbage_truck,is a truck
22,marigold,does reproduce
23,xylophone,has metal bars
24,pumpkin,has a stalk
25,umbrella,is made of plastic
26,macaroni,has a skin
27,gavel,makes a sound
28,chain,is big
29,hose,is made of plastic
30,lobster,lives in water
31,raisin,tastes good
32,police_car,has sirens
33,cream_cheese,is white in color
34,cigarette,produces smoke
35,radish,has green leaves
36,cigarette,does turn teeth yellow
37,kite,is colourful
38,walrus,has large teeth
39,gumball,is colorful
40,corn,is yellow
41,mushroom,eaten by cooking
42,rollerskate,is footwear
43,microwave,uses radiation
44,daisy,is yellow
45,ice_cream,made of cream
46,muffin,is made of butter
47,grasshopper,makes chirping sounds
48,wallet,is used to carry money and credit cards
49,exhaust_pipe,is an exhaust pipe
50,bean,is nutritious
51,bat1,is used to play baseball
52,swing,is used for fun
53,bagel,has calories
54,grapefruit,is edible
55,bracelet2,is thin
56,wheelbarrow,has one wheel
57,butter,is fatty
58,pickle,a food
59,fire_alarm,is used to alert people about fire in buildings
60,seaweed,is eaten in salads
61,porcupine,does shoot spikes
62,ladder,is a tool
63,van,has tires
64,vacuum,is used to clean ceilings
65,crossbow,made of wood and string
66,stereo,is electrical
67,tongs,is used to move food
68,pumpkin,grows on the ground
69,cherry,grows on trees
70,rolls_royce,is pretty
71,lip_balm,is used by applying
72,eggplant,is exotic
73,ambulance,has a red cross
74,snowboard,is used on snow
75,mouse1,an animal
76,cd_player,is found in bedrooms
77,dolphin,eats fish
78,crossbow,is used for protection
79,grate,is used in fires
80,oriole,is orange
81,stool,does support weight
82,skillet,has a handle
83,hand,is on the hand
84,wheat,is made into bread
85,book,is written
86,bra,is used for women
87,alligator,does move
88,paper_towel,is used to clean glass
89,basin,made of metal
90,butterfly,has scales
91,leopard,does run
92,satellite,is used to send messages
93,playing_card,has a number on the back
94,rifle,fires
95,brush,is used to groom dogs
96,ring,is used to make a proposal
97,pie,is eaten for lunch
98,sweet_potato,has a hard skin
99,umbrella,has skin
100,dishwashing_liquid,cleans dishes
101,slipper,is comfortable
102,sandpaper,does DIY
103,sewing_kit,has a piece of chalk
104,mouse1,is gray
105,medal,is round
106,shawl,is worn in india
107,backscratcher,is used to scratch skin
108,brick,is used in houses
109,roadsweeper,has a broom to sweep the leaves from the road
110,dressing_gown,is soft
111,brick,has a length
112,rat,has whiskers
113,goose,has a body
114,gyroscope,has a round shape
115,typewriter,has letters
116,skateboard,does skate
117,urinal,is used by males
118,rocking_chair,does swing
119,lavender,is used to make sachets
120,grille,is white
121,harp,makes music
122,whale,spouts water
123,chicken1,is edible
124,locket,has a chain
125,spinach,is a plant
126,teapot,is made by hand
127,colander,made of metal
128,beanbag,is large
129,sushi,has seaweed
130,dessert,is high in sugar
131,tack,is bent
132,cap_(bottle),used on bottles
133,chair,has a seat
134,spear,is used by the army
135,moped,does use fuel
136,chandelier,made of glass
137,cocoon,is a silk bag
138,alligator,does kill prey
139,spinach,has stems
140,radish,comes in bunches
141,tripod,has three legs
142,rat,is hunted by people
