index,concept_id,feature,name,source
0,camcorder,is used to make movies,gpt_3_filtered,gpt
1,duck,is domestic,gpt_3_filtered_overlap,gpt
2,eggplant,grows in the ground,gpt_3_filtered,gpt
3,belt,is decorative,mcrae,human
4,broccoli,is found in supermarkets,gpt_3_filtered_overlap,gpt
5,doorknob,is shiny,cslb,human
6,tambourine,has cymbals,cslb,human
7,strainer,water passes through,mcrae,human
8,asparagus,has small leaves,gpt_3_filtered,gpt
9,hoe,is used to kill animals,gpt_3_filtered_overlap,gpt
10,honeypot,is a cupboard,gpt_3_filtered,gpt
11,juice,has juice,gpt_3_unfiltered,gpt
12,apple,grows in tropical climates,gpt_3_filtered_overlap,gpt
13,buckle,is used to hold things together,gpt_3_filtered_overlap,gpt
14,pie,is sweet,gpt_3_filtered_overlap,gpt
15,throne,has arms,cslb,human
16,pipe1,made of bone,cslb,human
17,platypus,lays eggs every two weeks,gpt_3_unfiltered,gpt
18,stool_(furniture),is small,mcrae,human
19,ox,like a cow,mcrae,human
20,car,has doors,mcrae,human
21,margarita,contains alcohol,gpt_3_filtered,gpt
22,truck,is found on industrial sites,cslb,human
23,rabbit,eats carrots,mcrae,human
24,cheetah,does eat animals,cslb,human
25,ketchup,is made of tomatoes,gpt_3_filtered,gpt
26,helmet,is used for sports,gpt_3_filtered_overlap,gpt
27,lemon,is squeezed,cslb,human
28,tea,does warm,cslb,human
29,steak,has lots of protein,gpt_3_unfiltered,gpt
30,seaweed,is slimy,cslb,human
31,cherry,is in bunches,cslb,human
32,tomahawk,has a wooden handle,mcrae,human
33,radio,is an electrical device,gpt_3_filtered_overlap,gpt
34,turkey,lives on farms,mcrae,human
35,speedboat,made of wood,cslb,human
36,kitchen_scales,is used for baking,cslb,human
37,ham,is eaten with bread,cslb,human
38,arm,is part of the human body,gpt_3_unfiltered,gpt
39,flipper,is used by divers,gpt_3_unfiltered,gpt
40,smoothie,has fat,gpt_3_filtered,gpt
41,leek,is used to cook,gpt_3_filtered,gpt
42,cockroach,lives in the ground,gpt_3_filtered_overlap,gpt
43,sandal,is made in china,gpt_3_unfiltered,gpt
44,rope,has different lengths,gpt_3_filtered_overlap,gpt
45,grapefruit,is a fruit,gpt_3_filtered_overlap,gpt
46,bullet,used by firing from gun,mcrae,human
47,broccoli,tastes good,gpt_3_filtered_overlap,gpt
48,lantern,is a light,cslb,human
49,shawl,is worn,gpt_3_filtered_overlap,gpt
50,footrest,is used to rest your feet,gpt_3_unfiltered,gpt
51,guitar,is shaped like a triangle,gpt_3_filtered_overlap,gpt
52,groundhog,is small,mcrae,human
53,film,has a plastic cover,gpt_3_filtered,gpt
54,champagne,is liquid,cslb,human
55,hatchet,is used by lumberjacks,gpt_3_filtered_overlap,gpt
56,doorstop,is used to hold doors open,gpt_3_unfiltered,gpt
57,shell3,is used to make instruments,gpt_3_unfiltered,gpt
58,cash_register,has a screen,gpt_3_filtered,gpt
59,clamp,used for surgery,mcrae,human
60,nose,does breathe,cslb,human
61,fawn,has a tail,mcrae,human
62,submarine,is used for scientific research,gpt_3_filtered_overlap,gpt
63,bark,has different thicknesses,gpt_3_unfiltered,gpt
64,cedar,has needles,mcrae,human
65,mosquito_net,has no bugs in it,gpt_3_unfiltered,gpt
66,cloud,is found on hot days,gpt_3_unfiltered,gpt
67,basil,is edible,gpt_3_unfiltered,gpt
68,perfume,is made by celebrities,cslb,human
69,zebra,is a pet,gpt_3_filtered_overlap,gpt
70,yo-yo,is made of metal,gpt_3_filtered,gpt
71,bowl,made of ceramic,mcrae,human
72,airbag,is used to save lives,gpt_3_filtered,gpt
73,bank,has a lock,gpt_3_unfiltered,gpt
74,suit,is worn at funerals,gpt_3_filtered,gpt
75,giraffe,has a long tail,gpt_3_filtered_overlap,gpt
76,lettuce,is edible,mcrae,human
77,faucet,has hot water (right),mcrae,human
78,microscope,is used to study small things,gpt_3_unfiltered,gpt
79,pineapple,is prickly,mcrae,human
80,card_(greeting),is colourful,mcrae,human
81,window,is stained,cslb,human
82,organ,does make music,cslb,human
83,tiger,has claws,cslb,human
84,washcloth,is made of different materials,gpt_3_unfiltered,gpt
85,nutcracker,has a wooden handle,gpt_3_unfiltered,gpt
86,playing_card,is a tool,gpt_3_filtered,gpt
87,gun,is loaded,gpt_3_filtered_overlap,gpt
88,papaya,is red,gpt_3_unfiltered,gpt
89,loincloth,has a fringe,gpt_3_filtered,gpt
90,blindfold,has a hole,gpt_3_filtered,gpt
91,blindfold,is worn by women,gpt_3_filtered,gpt
92,bolo_tie,is a tie,gpt_3_unfiltered,gpt
93,calzone,is eaten for lunch,gpt_3_unfiltered,gpt
94,beetle,has four legs,gpt_3_filtered_overlap,gpt
95,salad,is eaten cold,gpt_3_filtered,gpt
96,squid,has suction cups,gpt_3_filtered_overlap,gpt
97,hammer,made of wood and metal,cslb,human
98,vine,used for wine,mcrae,human
99,plug,has a flat surface,gpt_3_filtered,gpt
100,kite,is an object,gpt_3_filtered_overlap,gpt
101,gas_mask,is a piece of equipment,gpt_3_filtered,gpt
102,cabbage,is a plant,gpt_3_filtered_overlap,gpt
103,rose,is sharp,cslb,human
104,shark,is found in the water,gpt_3_unfiltered,gpt
105,olive,is small,mcrae,human
106,cottage,used as a house,mcrae,human
107,pencil,is small,gpt_3_filtered,gpt
108,shack,made of metal,mcrae,human
109,coat,made of wool,mcrae,human
110,keyboard,has a sound system,gpt_3_filtered,gpt
111,octopus,lives in water,mcrae,human
112,eyepiece,is used to read,gpt_3_unfiltered,gpt
113,breakfast,has pancakes,gpt_3_filtered,gpt
114,corkscrew,used for opening wine bottles,mcrae,human
115,goblet,has a base,gpt_3_unfiltered,gpt
116,glasses,is used to see,gpt_3_filtered,gpt
117,apple,is tasty,cslb,human
118,peacock,is pretty,gpt_3_filtered,gpt
119,catapult,is large,mcrae,human
120,blowfish,kills people,gpt_3_unfiltered,gpt
121,honeydew,is nutritious,mcrae,human
122,scorpion,is an invertebrate,cslb,human
123,apple_tree,grows in the summer,gpt_3_unfiltered,gpt
124,knife,is used as a weapon,gpt_3_filtered_overlap,gpt
125,helicopter,made of metal,mcrae,human
126,turnip,a vegetable,mcrae,human
127,screwdriver,has a sharp tip,gpt_3_filtered_overlap,gpt
128,anchor,made of iron,mcrae,human
129,bra,has no straps,mcrae,human
130,guitar,is played,gpt_3_filtered_overlap,gpt
131,raisin,comes from grapes,gpt_3_filtered_overlap,gpt
132,suit,is pretty,cslb,human
133,pizza,is an italian dish,gpt_3_unfiltered,gpt
134,warthog,has an elongated snout,gpt_3_filtered,gpt
135,orangutan,is the largest of the apes,gpt_3_unfiltered,gpt
136,videocassette,is erased,gpt_3_filtered,gpt
137,chisel,has a flat blade,gpt_3_filtered_overlap,gpt
138,whale,has a blow hole,gpt_3_filtered_overlap,gpt
139,crane_(machine),is large,mcrae,human
140,van,is used to carry people,gpt_3_filtered,gpt
141,crocodile,swims,mcrae,human
142,hula_hoop,is a ring,gpt_3_filtered,gpt
143,umbrella,is used for protection,gpt_3_filtered_overlap,gpt
144,towel,is used as a blanket or a sheet,gpt_3_unfiltered,gpt
145,pliers,is used to clamp,gpt_3_filtered_overlap,gpt
146,reel,is used to videoe,gpt_3_unfiltered,gpt
147,bellows,is kept in museums,cslb,human
148,sardine,is eaten by humans,cslb,human
149,crank,is used to turn wheels,gpt_3_unfiltered,gpt
150,doorknob,is a household item,gpt_3_unfiltered,gpt
151,glue,is a chemical,gpt_3_unfiltered,gpt
152,whiteboard,is for drawing,gpt_3_unfiltered,gpt
153,tuba,is played with the hands,gpt_3_filtered_overlap,gpt
154,woodpecker,has a strong beak,mcrae,human
155,boat,is a ship,gpt_3_filtered_overlap,gpt
156,ketchup,has a tomato taste,gpt_3_unfiltered,gpt
157,balloon,is used at parties,gpt_3_filtered_overlap,gpt
158,crayon,has a color,gpt_3_filtered_overlap,gpt
159,mouse1,eats cheese,mcrae,human
160,cocoon,has many legs,gpt_3_filtered,gpt
161,butter,is spread,cslb,human
162,tarantula,is an invertebrate,cslb,human
163,zucchini,has seeds,mcrae,human
164,shirt,is used by people,gpt_3_unfiltered,gpt
165,coleslaw,is a vegetable,gpt_3_filtered,gpt
166,fern,is ancient,cslb,human
167,socks,different colours,mcrae,human
168,sled,used by children,mcrae,human
169,dresser,is traditional,cslb,human
170,guacamole,is served with salsa,gpt_3_filtered,gpt
171,granola,is high in sugar,gpt_3_unfiltered,gpt
172,chihuahua,is black,gpt_3_unfiltered,gpt
173,potato,is used as a snack food,gpt_3_filtered_overlap,gpt
174,television,is for games,cslb,human
175,clarinet,is played by professionals,gpt_3_filtered_overlap,gpt
176,garbage,is rubbish truck,gpt_3_unfiltered,gpt
177,parachute,has a harness,gpt_3_unfiltered,gpt
178,cup,is made of glass,gpt_3_filtered_overlap,gpt
179,weather_vane,is shiny,gpt_3_unfiltered,gpt
180,barnacle,is edible,gpt_3_unfiltered,gpt
181,dresser,found in bedrooms,mcrae,human
182,manhole,is used for access,gpt_3_unfiltered,gpt
183,pepper2,tastes hot/spicy,mcrae,human
184,ostrich,lives on farms,gpt_3_filtered,gpt
185,pineapple,has a ring,gpt_3_filtered_overlap,gpt
186,celery,is a leafy green,gpt_3_filtered_overlap,gpt
187,hot-water_bottle,is used to warm up the room,gpt_3_unfiltered,gpt
188,sandpaper,is used on wood,gpt_3_filtered_overlap,gpt
189,leopard,is strong,gpt_3_filtered_overlap,gpt
190,freezer,is an appliance,gpt_3_unfiltered,gpt
191,budgie,has wings,cslb,human
192,crowbar,is hard,cslb,human
193,eggshell,has a small hole,gpt_3_unfiltered,gpt
194,stem,is edible,gpt_3_filtered,gpt
