feature,changed_feature
it can be black or white,it can be white
it can be black or white,it can be black
it can be loud or soft,it can be soft
it can be loud or soft,it can be loud
it is made of wood or metal,it is made of metal
it is made of wood or metal,it is made of wood
it can be long or short,it can be short
it can be long or short,it can be long
it eats plants or fish,it eats fish
it eats plants or fish,it eats plants
it is made of wood or metal,it is made of metal
it is made of wood or metal,it is made of wood
it is made of plastic or wood,it is made of wood
it is made of plastic or wood,it is made of plastic
it is made of plastic or metal,it is made of metal
it is made of plastic or metal,it is made of plastic
it can be made of glass or wood,it can be made of wood
it can be made of glass or wood,it can be made of glass
it has a clasp or hook,it has a hook
it has a clasp or hook,it has a clasp
it can be used for tying up an animal or person,it can be used for tying up an person
it can be used for tying up an animal or person,it can be used for tying up an animal
it is eaten with tea or coffee,it is eaten with coffee
it is eaten with tea or coffee,it is eaten with tea
it can be short or long,it can be long
it can be short or long,it can be short
it has hair or fur,it has fur
it has hair or fur,it has hair
it is made of gold or silver,it is made of silver
it is made of gold or silver,it is made of gold
it is yellow or orange,it is orange
it is yellow or orange,it is yellow
it is served hot or cold,it is served cold
it is served hot or cold,it is served hot
it is for men or women,it is for women
it is for men or women,it is for men
it is worn under a jacket or coat,it is worn under a coat
it is worn under a jacket or coat,it is worn under a jacket
it can be long or short,it can be short
it can be long or short,it can be long
it has a bark or skin,it has a skin
it has a bark or skin,it has a bark
