,decoded_feature,syn_feature
0,is a motorcycle,is a bike
1,is an automobile,is a car
2,is a creature,is an animal
3,is a decoration,is an ornament
4,is flowers,is a flower
5,is food,is a food
6,is poultry,is a fowl
7,is fruit,is a fruit
8,is fungus,is a fungus
9,is an appliance,is a gadget
10,is a pistol,is a handgun
11,is an herb,is a herb
12,is an herbivore,is a herbivore
13,is jewelry,is a jewelry
14,is mammals,is a mammal
15,is a metal,is metal
16,is a mollusk,is a mollusc
17,is a paper,is paper
18,is scavenger,is a scavenger
19,is a sheep,is sheep
20,is wax,is a wax
21,is wood,is a wood
22,is denim,is jeans
23,is used as a food,is used as food
24,is used as a medicine,is used in medicine
25,is used as a table,is used at the table
26,is used as an ornament,is used for decoration
27,is used as clothing,is used for clothing
28,is used for money,is used as money
29,is used at a game,is used for games
30,is used at home,is used in the home
31,is used at parties,is used for parties
32,is used at sea,is used in the sea
33,is used at the beach,is used on the beach
34,is used at work,is used for work
35,is used for a bike,is used on a bike
36,is used for children,is used for a child
37,is used for a salad,is used for salads
38,is used on animals,is used for animals
39,is used for battle,is used in battle
40,is used on a belt,is used for belts
41,is used for boats,is used on a boat
42,is used in business,is used for business
43,is used for carpentry,is used in carpentry
44,is used for cars,is used in a car
45,is used for construction,is used in construction
46,is used for doors,is used in a door
47,is used for drinks,is used for drink
48,is used in education,is used for education
49,is used for emergencies,is used in emergencies
50,is used in food,is used for food
51,is used on grass,is used for grass
52,is used in the hair,is used for hair
53,is used in magic,is used for magic
54,is used in the military,is used for military
55,is used for music,is used in music
56,is used in photography,is used for photography
57,is used for the plate,is used for plates
58,is used in research,is used for research
59,is used for sandwiches,is used in sandwiches
60,is used for science,is used in science
61,is used in soup,is used for soup
62,is used for sports,is used for sport
63,is used for the kitchen,is used in a kitchen
64,is used on a table,is used for the table
65,is used in transportation,is used for transportation
66,is used for warfare,is used for war
67,is used for water,is used in the water
68,is used in wine,is used for wine
69,is used in wood,is used for wood
70,is used in a band,is used in bands
71,is used in a bed,is used in bed
72,is used in a bedroom,is used in bedrooms
73,is used in a circus,is used in circuses
74,is used in concerts,is used in a concert
75,is used in factories,is used in a factory
76,is used in guns,is used in a gun
77,is used in houses,is used in a house
78,is used in a school,is used in school
79,is used in a supermarket,is used in supermarkets
80,is used in an office,is used in offices
81,is used in an orchestra,is used in orchestras
82,is used in fights,is used in battles
83,is used on clothing,is used in clothing
84,is used in kitchens,is used in the kitchen
85,is used in the park,is used in parks
86,is used in rain,is used in the rain
87,is used in sports,is used in sport
88,is used in the summer,is used in summer
89,is used in the winter,is used in winter
90,is used in warfare,is used in war
91,is used in water,is used on water
92,is used on the hair,is used on hair
93,is used on the road,is used on roads
94,is amphibious,is amphibian
95,is large,is big
96,is circular,is round
97,is crisp,is sharp
98,is cunning,is cute
99,is ornamental,is decorative
100,is yellowish,is yellow
101,is used to filter liquids,is used to filter liquid
102,is used to make soups,is used to make soup
103,is used to study cells,is used to examine cells
104,is used to season food,is used to flavor food
105,is used to hold animals,is used to keep animals
106,is made of cows,is made from cows
107,is made from fibers,is made of fiber
108,is made from milk,is made of milk
109,is made of a fruit,is made of fruit
110,is made of material,is made of a material
111,is made of cloth,is made of fabric
112,is made of curd,is made of curds
113,has a bark,has bark
114,has batteries,has a battery
115,has the bill,has a bill
116,has blades,has a blade
117,has blankets,has a blanket
118,has branches,has a branch
119,has buckles,has a buckle
120,has a bullet,has bullets
121,has a button,has buttons
122,has a carriage,has carriages
123,has a claw,has claws
124,has color,has a color
125,has a cup,has cups
126,has a diamond,has diamonds
127,has doors,has a door
128,has a drawer,has drawers
129,has a feather,has feathers
130,has no filter,has a filter
131,has a fin,has fins
132,has flaps,has a flap
133,has flavor,has a flavor
134,has flesh,has a flesh
135,has a flippers,has a flipper
136,has a flower,has flowers
137,has a foot,has feet
138,has a frill,has frills
139,has a fringe,has fringes
140,has fruit,has a fruit
141,has a fuel,has fuel
142,has a grain,has grains
143,has a hammer,has hammers
144,has handles,has a handle
145,has handlebars,has a handlebar
146,has a hinge,has hinges
147,has a hole,has holes
148,has a hoof,has hoofs
149,has hooks,has a hook
150,has a horn,has horns
151,has humps,has a hump
152,has a husk,has a stalk
153,has jaws,has a jaw
154,has a juice,has juice
155,has a key,has keys
156,has knobs,has a knob
157,has knots,has a knot
158,has lace,has a laces
159,has eyelashes,has a lash
160,has a leg,has legs
161,has lenses,has a lens
162,has masts,has a mast
163,has neck,has a neck
164,has paddles,has a paddle
165,has patterns,has a pattern
166,has a payload,has a warhead
167,has no pedals,has a pedal
168,has periscopes,has a periscope
169,has a pincer,has pincers
170,has a pocket,has pockets
171,has pods,has a pod
172,has a pole,has poles
173,has a post,has posts
174,has a prong,has prongs
175,has rattles,has a rattle
176,has reeds,has a reed
177,has roots,has a root
178,has rotors,has a rotor
179,has no sails,has a sail
180,has no scales,has a scale
181,has seats,has a seat
182,has a seed,has seeds
183,has a sheet,has sheets
184,has a shelf,has shelves
185,has shells,has a shell
186,has skin,has a skin
187,has a slot,has slots
188,has speakers,has a speaker
189,has a stalks,has stalks
190,has a strap,has straps
191,has a string,has strings
192,has a stripe,has stripes
193,has a talon,has talons
194,has taps,has a tap
195,has texture,has a texture
196,has ties,has a tie
197,has a tine,has tines
198,has tires,has a tire
199,has tracks,has a track
200,has a tusks,has a tusk
201,has udders,has a udder
202,has a use,has uses
203,has value,has a value
204,has a valve,has valves
205,has a wheel,has wheels
206,has a window,has windows
207,has a wing,has wings
208,has wires,has a wire
209,has zips,has a zip
210,has antenna,has an antenna
211,has an arrow,has arrows
212,has engines,has an engine
213,has an explosive,has explosives
214,has an eye,has eyes
215,has an oar,has oars
216,has no arms,has arms
217,has no bones,has bones
218,has no brakes,has brakes
219,has no color,has colors
220,has no ears,has ears
221,has no gears,has gears
222,has no hair,has hair
223,has no leaves,has leaves
224,builds dams,builds a dam
225,holds liquids,holds liquid
226,makes a noise,makes noise
227,makes sound,makes a sound
228,pulls a cart,pulls carts
229,tells time,tells the time
230,has a large body,has a big body
231,has a big engine,has a large engine
232,has a large head,has a big head
233,has a large mouth,has a big mouth
234,has a large stone,has a big stone
235,grows in gardens,grows in a garden
236,grows in ground,grows in the ground
237,grows on a bush,grows on bushes
238,lives in a colony,lives in colonies
239,lives in forests,lives in the forest
240,lives in the house,lives in houses
241,lives in the water,lives in water
