feature,changed_feature
it is used to carry people and things,it is used to carry people and things
it is used to carry people and things,it is used to carry people and things
it has a sail and it has a mast,it has a sail
it has a sail and it has a mast,it has a mast
it has a small head and it is from the cabbage family,it has a small head
it has a small head and it is from the cabbage family,it is from the cabbage family
it is used to rake grass and it is used to rake snow,it is used to rake grass
it is used to rake grass and it is used to rake snow,it is used to rake snow
it has leaves and it is small,it has leaves
it has leaves and it is small,it is small
it has a head and it has a small head,it has a head
it has a head and it has a small head,it has a small head
it is small and it makes a rattling sound,it is small
it is small and it makes a rattling sound,it makes a rattling sound
it is found in the americas and it has a rattle,it is found in the americas
it is found in the americas and it has a rattle,it has a rattle
it has a stalk and it does grow,it has a stalk
it has a stalk and it does grow,it does grow
it does cut stubble and it is used to shave,it does cut stubble
it does cut stubble and it is used to shave,it is used to shave
it can be concealed and it can be used by the police,it can be concealed
it can be concealed and it can be used by the police,it can be used by the police
it is used by the army and it is used by hunters,it is used by the army
it is used by the army and it is used by hunters,it is used by hunters
it is round and it is worn on the finger,it is round
it is round and it is worn on the finger,it is worn on the finger
it is served with meat and vegetables,it is served with meat and vegetables
it is served with meat and vegetables,it is served with meat and vegetables
it is served with fish and meat,it is served with fish and meat
it is served with fish and meat,it is served with fish and meat
it is served with chicken and vegetables and it has a long grain,it is served with chicken and vegetables
it is served with chicken and vegetables and it has a long grain,it has a long grain
it is served with chicken and vegetables,it is served with chicken and vegetables
it does not have a colour and it has been around for millions of years,it does not have a colour
it does not have a colour and it has been around for millions of years,it has been around for millions of years
it does have an engine and it does have fuel,it does have an engine
it does have an engine and it does have fuel,it does have fuel
it is made of cotton and it is worn by women,it is made of cotton
it is made of cotton and it is worn by women,it is worn by women
it has a lot of thickness and it is used to tie things together,it has a lot of thickness
it has a lot of thickness and it is used to tie things together,it is used to tie things together
it is a white fish and it is a sea fish,it is a white fish
it is a white fish and it is a sea fish,it is a sea fish
it is used to smooth out surfaces and it is used to polish surfaces,it is used to smooth out surfaces
it is used to smooth out surfaces and it is used to polish surfaces,it is used to polish surfaces
it is used to draw straight lines and it is used to draw circles,it is used to draw straight lines
it is used to draw straight lines and it is used to draw circles,it is used to draw circles
it has holes and it is played by blowing,it has holes
it has holes and it is played by blowing,it is played by blowing
it has a color and it is made of silk,it has a color
it has a color and it is made of silk,it is made of silk
it has a head and it is made of steel,it has a head
it has a head and it is made of steel,it is made of steel
they have blades and they do cut,they have blades
they have blades and they do cut,they do cut
it does swim and it does eat fish,it does swim
it does swim and it does eat fish,it does eat fish
it does grow on trees and it is edible,it does grow on trees
it does grow on trees and it is edible,it is edible
it has a cross-piece and it has a grip,it has a cross-piece
it has a cross-piece and it has a grip,it has a grip
it has lifeboats and it has a rudder,it has lifeboats
it has lifeboats and it has a rudder,it has a rudder
it has patterns and it is warm,it has patterns
it has patterns and it is warm,it is warm
it does have a face and it is associated with the countryside,it does have a face
it does have a face and it is associated with the countryside,it is associated with the countryside
it is used to dig up trees and it has a long handle,it is used to dig up trees
it is used to dig up trees and it has a long handle,it has a long handle
it is worn by men and women and it has sleeves,it is worn by men
it is worn by men and women and it has sleeves,it is worn by women
it is worn by men and women and it has sleeves,it has sleeves
it is found in salt water and it is found in the ocean,it is found in salt water
it is found in salt water and it is found in the ocean,it is found in the ocean
it is used for washing dishes and it does have water in it,it is used for washing dishes
it is used for washing dishes and it does have water in it,it does have water in it
it does have a long tail with black and white stripes and it does have a long tail with black and white stripes on its back,it does have a long tail with black and white stripes
it does have a long tail with black and white stripes and it does have a long tail with black and white stripes on its back,it does have a long tail with black and white stripes on its back
it does have a long tail with black and white stripes,it does have a long tail with black and white stripes
it does have a long tail with black and white stripes on its back,it does have a long tail with black and white stripes on its back
it is used for tricks and stunts,it is used for tricks
it is used for tricks and stunts,it is used for stunts
it does have a seat and it can be used on the road,it does have a seat
it does have a seat and it can be used on the road,it can be used on the road
it lives in the garden and it eats leaves,it lives in the garden
it lives in the garden and it eats leaves,it eats leaves
it is worn by women and it is worn at the waist,it is worn by women
it is worn by women and it is worn at the waist,it is worn at the waist
it is used for lifting things and it is made of metal,it is used for lifting things
it is used for lifting things and it is made of metal,it is made of metal
it has a blade and it is thrown,it has a blade
it has a blade and it is thrown,it is thrown
it does spin webs and it is from the uk,it does spin webs
it does spin webs and it is from the uk,it is from the uk
it is eaten cooked and it is eaten with pasta,it is eaten cooked
it is eaten cooked and it is eaten with pasta,it is eaten with pasta
it is used for mixing and it is used for serving,it is used for mixing
