feature,changed_feature
blow it up,blows it up
meows,meoes
washes dishes,winks dishes
brays,braes
are trousers,is trousers
are blue,is blue
are made of denim,is made of denim
are associated with cowboys,is associated with cowboys
are worn by people,is worn by people
have belt loops,has belt loops
have buttons,has buttons
have pockets,has pockets
have rivets,has rivets
are associated with rock stars,is associated with rock stars
are used to grip,is used to grip
are used by mechanics,is used by mechanics
have handles,has handles
are used to hold things,is used to hold things
are used to bend things,is used to bend things
have metal jaws,has metal jaws
are used to pull,is used to pull
are used to tighten things,is used to tighten things
are used to cut,is used to cut
are made of metal,is made of metal
have handles,has handles
are sharp,is sharp
have blades,has blades
are used by adults,is used by adults
are used to craft,is used to craft
doves deep underwater,dghts deep underwater
are used to pick things up,is used to pick things up
are used in the kitchen,is used in the kitchen
are used to grab things,is used to grab things
are made of metal,is made of metal
have a handle,has a handle
have a long handle,has a long handle
have teeth,has teeth
are used to grab hot things,is used to grab hot things
are used to grab food,is used to grab food
are used to grab meat,is used to grab meat
hurts people,keeps people
are used for clothing,is used for clothing
are made of cotton,is made of cotton
are blue,is blue
are worn by men,is worn by men
are worn by women,is worn by women
are dark colored,is dark colored
are pants,is pants
are used for jeans,is used for jeans
are used for pants,is used for pants
are blue colored,is blue colored
are used to cut paper,is used to cut paper
are used to cut hair,is used to cut hair
are used to cut cloth,is used to cut cloth
are made of metal,is made of metal
have a handle,has a handle
have a blade,has a blade
have a sharp edge,has a sharp edge
have two handles,has two handles
are used to cut,is used to cut
are found in school,is found in school
washes dishes,winks dishes
washes clothes,winks clothes
are blue,is blue
are worn by men,is worn by men
are worn by women,is worn by women
are long,is long
are made of cotton,is made of cotton
are made of denim,is made of denim
are worn in the united states,is worn in the united states
are american,is american
are comfortable,is comfortable
are casual,is casual
are used to cut,is used to cut
are made of metal,is made of metal
are sharp,is sharp
are used to cut paper,is used to cut paper
are used to cut hair,is used to cut hair
are used to cut cloth,is used to cut cloth
are used to cut food,is used to cut food
are used at home,is used at home
are used by hairdressers,is used by hairdressers
meows,meoes
washes dishes,winks dishes
washes pots,winks pots
washes pans,winks pans
washes knives,winks knives
washes glasses,winks glasses
are pants,is pants
are worn by men,is worn by men
are worn by women,is worn by women
are blue,is blue
are used for work,is used for work
are worn by farmers,is worn by farmers
are used to work in the fields,is used to work in the fields
are made of denim,is made of denim
are used to work on farms,is used to work on farms
are worn by farmers,is worn by farmers
are used for work,is used for work
are played by people,is played by people
are made of wood,is made of wood
are brown,is brown
are found in homes,is found in homes
are used to play music,is used to play music
have keys,has keys
have strings,has strings
are large,is large
are found in living rooms,is found in living rooms
are black,is black
are used to turn nuts,is used to turn nuts
are used to turn screws,is used to turn screws
are used to bend metal,is used to bend metal
are used to grip objects,is used to grip objects
are made of metal,is made of metal
have handles,has handles
are used to cut,is used to cut
have handles,has handles
have blades,has blades
are sharp,is sharp
have a point,has a point
are used to cut cloth,is used to cut cloth
are used to cut paper,is used to cut paper
