feature,changed_feature
it has a bone-crushing bite,it has a bone - crushing bite
it is four-wheel-drive,it is four - wheel - drive
it has an on/off switch,it has an on / off switch
it is associated with noah's ark,it is associated with noah 's ark
it is an egg-laying mammal,it is an egg - laying mammal
it has a duck-like bill,it has a duck - like bill
it has an otter-like tail,it has an otter - like tail
it is used to apply make-up,it is used to apply make - up
it has a driver's seat,it has a driver 's seat
it is used for self-admiration,it is used for self - admiration
it is a kid's pet,it is a kid 's pet
it is a woman's top,it is a woman 's top
it weighs 500g,it weighs 500 g
it is a long-necked animal,it is a long - necked animal
it can't fly and it can't walk,it ca n't fly and it ca n't walk
it is a duck-billed platypus,it is a duck - billed platypus
it can play cd's,it can play cd 's
it is a men's product,it is a men 's product
it is a women's product,it is a women 's product
it is used in a carpenter's workshop,it is used in a carpenter 's workshop
it is a long-necked bird,it is a long - necked bird
it is used for self-defense,it is used for self - defense
it is used for getting a good night's sleep,it is used for getting a good night 's sleep
it is used for putting on make-up,it is used for putting on make - up
it is long-necked,it is long - necked
it has a driver's seat,it has a driver 's seat
it has a screw-like tip,it has a screw - like tip
it is a girl's toy,it is a girl 's toy
it is long-necked,it is long - necked
it is hard-shelled,it is hard - shelled
it has four-wheel drive,it has four - wheel drive
it is cold-blooded,it is cold - blooded
it is old-fashioned,it is old - fashioned
it covers people's heads,it covers people 's heads
it is a wood-eating insect,it is a wood - eating insect
it is given on valentine's day,it is given on valentine 's day
it is made from cow's milk,it is made from cow 's milk
it is a ship's symbol,it is a ship 's symbol
it is eaten with tea/coffee,it is eaten with tea / coffee
it has thin/spaghetti straps,it has thin / spaghetti straps
it is made of gold/silver,it is made of gold / silver
it has an on/off switch,it has an on / off switch
it is made of plastic/fabric/wood/clay/metal,it is made of plastic / fabric / wood / clay / metal
it has a dog-like face,it has a dog - like face
it has a spoon-like shape,it has a spoon - like shape
it has a bowl-like shape,it has a bowl - like shape
it heats/cooks food,it heats / cooks food
it has a pit/stone,it has a pit / stone
it is an egg-laying mammal,it is an egg - laying mammal
it has wooden/metal prongs,it has wooden / metal prongs
it is used for self-defense,it is used for self - defense
it is yellow/orange,it is yellow / orange
it lives in a pond/swamp/puddle,it lives in a pond / swamp / puddle
it has a driver's seat,it has a driver 's seat
it is an oboe-like instrument,it is an oboe - like instrument
it is grey/black in color,it is grey / black in color
it is used for self-defence,it is used for self - defence
it is used in bdsm (bondage,it is used in bdsm ( bondage
it eats grass/vegetation,it eats grass / vegetation
it has a handle/bar,it has a handle / bar
it has arms to support people's weight,it has arms to support people 's weight
it has a v-neck,it has a v - neck
it has a wingspan of 6 ft.,it has a wingspan of 6 ft .
it has an on/off switch,it has an on / off switch
it is a four-wheeled vehicle,it is a four - wheeled vehicle
it is used for make-up,it is used for make - up
it is used for killing people and it cannot be reloaded,it is used for killing people and it can not be reloaded
it is made of cow's milk,it is made of cow 's milk
it is made of goat's milk,it is made of goat 's milk
it is made of sheep's milk,it is made of sheep 's milk
it is man's best friend,it is man 's best friend
it is long-legged,it is long - legged
it is long-eared,it is long - eared
