feature,changed_feature
it is made of metal or plastic,it is made of plastic
it is made of metal or plastic,it is made of metal
it is round and it is pressed into wax or ink,it is round and it is pressed into ink
it is round and it is pressed into wax or ink,it is round and it is pressed into wax
it is pressed into wax or ink,it is pressed into ink
it is pressed into wax or ink,it is pressed into wax
it can be eaten with tea or coffee,it can be eaten with coffee
it can be eaten with tea or coffee,it can be eaten with tea
it is not made of wood or plastic,it is not made of plastic
it is not made of wood or plastic,it is not made of wood
it can be long or short,it can be short
it can be long or short,it can be long
it has no arms or legs,it has no legs
it has no arms or legs,it has no arms
it is made of fruit or meat,it is made of meat
it is made of fruit or meat,it is made of fruit
it is a gate or door,it is a door
it is a gate or door,it is a gate
it can be used for food or drink,it can be used for drink
it can be used for food or drink,it can be used for food
