feature,changed_feature
are sharp,is sharp
are used to cut,is used to cut
are made of metal,is made of metal
have handles,has handles
do cut,does cut
have blades,has blades
are made of metal,is made of metal
have a handle,has a handle
are used to lift things,is used to lift things
have a long handle,has a long handle
have a short handle,has a short handle
have a long head,has a long head
are large,is large
are mammals,is mammals
have fur,has fur
have a long nose,has a long nose
have a hairy face,has a hairy face
have a flat nose,has a flat nose
have a large mouth,has a large mouth
are strong,is strong
are pants,is pants
are trousers,is trousers
are blue,is blue
are casual,is casual
are in fashion,is in fashion
have holes,has holes
have a zip,has a zip
have a label,has a label
have a waistband,has a waistband
are heavy,is heavy
are used in construction,is used in construction
are metal,is metal
are used by electricians,is used by electricians
have a grip,has a grip
have handles,has handles
are used to grip,is used to grip
have a long nose,has a long nose
are small,is small
are a gadget,is a gadget
have uses,has uses
cut,cuts
do stab,does stab
have a hinge,has a hinge
are used to cook,is used to cook
are used to grab,is used to grab
have a handle,has a handle
are long,is long
have a pointy end,has a pointy end
have a flat end,has a flat end
are metal,is metal
are blue,is blue
are used in summer,is used in summer
are casual,is casual
are worn by both men,is worn by both men
are worn by women,is worn by women
have a fly,has a fly
have pockets,has pockets
are made of cotton,is made of cotton
are worn for casual wear,is worn for casual wear
have a waistband,has a waistband
are worn for work,is worn for work
are used for electrical work,is used for electrical work
are used to tighten nuts,is used to tighten nuts
are used to pull nails,is used to pull nails
are used to bend wire,is used to bend wire
are used in construction,is used in construction
have handles,has handles
have a grip,has a grip
have a head,has a head
have jaws,has jaws
are made of metal,is made of metal
are used to cut,is used to cut
have handles,has handles
have blades,has blades
are sharp,is sharp
are used to cut paper,is used to cut paper
are used to cut fabric,is used to cut fabric
are used to cut thread,is used to cut thread
are used to cut hair,is used to cut hair
are used to cook,is used to cook
are used to turn,is used to turn
are used to hold,is used to hold
are used to grab,is used to grab
are used to hold fire,is used to hold fire
are made of metal,is made of metal
are thin,is thin
are long,is long
have a handle,has a handle
are blue,is blue
are trousers,is trousers
are made of cotton,is made of cotton
have a belt,has a belt
have pockets,has pockets
have zips,has zips
have buttons,has buttons
do fit,does fit
have a fly,has a fly
do cut,does cut
are made of metal,is made of metal
are sharp,is sharp
have a handle,has a handle
have a blade,has a blade
do cut paper,does cut paper
do have a point,does have a point
hurts,keeps
are blue,is blue
are tight,is tight
are worn,is worn
are fashionable,is fashionable
are made of denim,is made of denim
have pockets,has pockets
have buttons,has buttons
are made of cotton,is made of cotton
are made of metal,is made of metal
have handles,has handles
have blades,has blades
are sharp,is sharp
are used to cut paper,is used to cut paper
are used to cut hair,is used to cut hair
are used to hold things,is used to hold things
are used in cooking,is used in cooking
are used to grab food,is used to grab food
do have a handle,does have a handle
do have two parts,does have two parts
do have a metal part,does have a metal part
are used to grab things,is used to grab things
are used to lift things,is used to lift things
are trousers,is trousers
are blue,is blue
are worn,is worn
are tight,is tight
are fashionable,is fashionable
have pockets,has pockets
have zips,has zips
have buttons,has buttons
have a waistband,has a waistband
have rivets,has rivets
are for cutting,is for cutting
are for cutting paper,is for cutting paper
have handles,has handles
have blades,has blades
are sharp,is sharp
are used to cut,is used to cut
are metal,is metal
are used in the kitchen,is used in the kitchen
are metallic,is metallic
have a handle,has a handle
have a grip,has a grip
are used to pick things up,is used to pick things up
are used to hold things,is used to hold things
are used in cooking,is used in cooking
are sharp,is sharp
are used to cut,is used to cut
are made of metal,is made of metal
have blades,has blades
cut paper,cuts paper
are used to cut hair,is used to cut hair
have handles,has handles
are used to cut fabric,is used to cut fabric
washes the dishes,winks the dishes
are trousers,is trousers
are blue,is blue
are made of cotton,is made of cotton
are made of denim,is made of denim
are worn by both men,is worn by both men
are worn by women,is worn by women
do not have pockets,does not have pockets
cover the legs,covers the legs
have a zipper,has a zipper
are used in sport,is used in sport
are used in the kitchen,is used in the kitchen
are used in music,is used in music
are used to hold things,is used to hold things
are used to cut things,is used to cut things
are used to pull things,is used to pull things
are made of wood,is made of wood
have a lid,has a lid
are rectangular,is rectangular
are used for storage,is used for storage
are made of cardboard,is made of cardboard
are made of metal,is made of metal
are big,is big
have a lid,has a lid
have a handle,has a handle
are blue,is blue
are trousers,is trousers
are made of denim,is made of denim
are casual,is casual
are worn by men,is worn by men
are made of cotton,is made of cotton
are long trousers,is long trousers
have a zip fly,has a zip fly
have pockets,has pockets
have belt loops,has belt loops
are used to grip,is used to grip
are used to hold,is used to hold
are used to bend,is used to bend
are used to twist,is used to twist
are used to cut,is used to cut
are hand tools,is hand tools
are for cutting,is for cutting
have blades,has blades
have handles,has handles
are for cutting paper,is for cutting paper
are sharp,is sharp
are used to cut fabric,is used to cut fabric
have two handles,has two handles
have a blade,has a blade
are used to cut hair,is used to cut hair
are used at home,is used at home
are fired from the gun,is fired from the gun
are blue,is blue
are worn by men,is worn by men
are worn by women,is worn by women
are trousers,is trousers
are made of denim,is made of denim
are worn by people in the country,is worn by people in the country
have a belt,has a belt
have pockets,has pockets
have a fly,has a fly
have a zip,has a zip
are metal,is metal
have teeth,has teeth
have a hole,has a hole
are small,is small
are used to open doors,is used to open doors
are used to open locks,is used to open locks
are strong,is strong
have a handle,has a handle
have a wire,has a wire
have a pointed end,has a pointed end
have a flat end,has a flat end
are used to grip,is used to grip
are used in diy,is used in diy
are yellow,is yellow
are sweet,is sweet
are a fruit,is a fruit
have a peel,has a peel
